Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Vikings to receive the opening kickoff.",,,5.0,2022,69
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, returned by Kene Nwangwu for 14 yards (tackle by Josh Blackwell and DeAndre Houston-Carson)",0.0,-0.28,5.0,2022,69
1.0,14:55,1.0,10.0,MIN 14,0.0,0.0,Dalvin Cook right tackle for 4 yards (tackle by Al-Quadin Muhammad and Armon Watts),-0.28,-0.21,5.0,2022,69
1.0,14:24,2.0,6.0,MIN 18,0.0,0.0,Kirk Cousins pass complete short left to Justin Jefferson for 16 yards (tackle by Jaylon Jones),-0.21,1.2,5.0,2022,69
1.0,13:43,1.0,10.0,MIN 34,0.0,0.0,Kirk Cousins pass complete short right to Johnny Mundt for 4 yards (tackle by Kindle Vildor),1.2,1.2,5.0,2022,69
1.0,13:06,2.0,6.0,MIN 38,0.0,0.0,Kirk Cousins pass complete short left to Justin Jefferson for 14 yards (tackle by Kyler Gordon),1.2,2.39,5.0,2022,69
1.0,12:32,1.0,10.0,CHI 48,0.0,0.0,Dalvin Cook left tackle for 2 yards (tackle by Matthew Adams),2.39,2.12,5.0,2022,69
1.0,11:58,2.0,8.0,CHI 46,0.0,0.0,Dalvin Cook right guard for 5 yards (tackle by Nicholas Morrow and Kindle Vildor),2.12,2.08,5.0,2022,69
1.0,11:20,3.0,3.0,CHI 41,0.0,0.0,Kirk Cousins pass complete short middle to K.J. Osborn for 6 yards (tackle by Nicholas Morrow and Jaylon Jones),2.08,3.25,5.0,2022,69
1.0,10:40,1.0,10.0,CHI 35,0.0,0.0,Dalvin Cook up the middle for 6 yards (tackle by Nicholas Morrow),3.25,3.51,5.0,2022,69
1.0,10:10,2.0,4.0,CHI 29,0.0,0.0,Kirk Cousins pass complete short right to Justin Jefferson for 16 yards (tackle by Kyler Gordon),3.51,4.71,5.0,2022,69
1.0,9:23,1.0,10.0,CHI 13,0.0,0.0,Kirk Cousins pass complete short middle to Adam Thielen for 3 yards (tackle by Nicholas Morrow),4.71,4.58,5.0,2022,69
1.0,8:41,2.0,7.0,CHI 10,0.0,0.0,Kirk Cousins pass complete short left to Justin Jefferson for 9 yards (tackle by Jaylon Jones and Jaquan Brisker),4.58,6.97,5.0,2022,69
1.0,8:18,1.0,1.0,CHI 1,0.0,6.0,"Dalvin Cook right tackle for 1 yard, touchdown",6.97,7.0,5.0,2022,69
1.0,8:15,,,CHI 15,0.0,7.0,Greg Joseph kicks extra point good,0.0,0.0,5.0,2022,69
1.0,8:15,,,MIN 35,0.0,7.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,69
1.0,8:15,1.0,10.0,CHI 25,0.0,7.0,"Penalty on CHI: Delay of Game, 5 yards (accepted) (no play)",0.61,0.28,5.0,2022,69
1.0,8:15,1.0,15.0,CHI 20,0.0,7.0,Justin Fields pass complete short left to David Montgomery for 30 yards (tackle by Cameron Dantzler),0.28,2.26,5.0,2022,69
1.0,7:37,1.0,10.0,CHI 50,0.0,7.0,Justin Fields pass complete short left to Cole Kmet for 4 yards (tackle by Cameron Dantzler),2.26,2.25,5.0,2022,69
1.0,7:05,2.0,6.0,MIN 46,0.0,7.0,"Justin Fields pass incomplete intended for Darnell Mooney. Penalty on Patrick Peterson: Defensive Pass Interference, 20 yards (accepted) (no play)",2.25,3.84,5.0,2022,69
1.0,6:59,1.0,10.0,MIN 26,0.0,7.0,David Montgomery up the middle for no gain (tackle by Harrison Phillips),3.84,3.3,5.0,2022,69
1.0,6:21,2.0,10.0,MIN 26,0.0,7.0,Justin Fields pass incomplete deep left intended for Darnell Mooney,3.3,2.61,5.0,2022,69
1.0,6:15,3.0,10.0,MIN 26,0.0,7.0,"Penalty on Larry Borom: False Start, 5 yards (accepted) (no play)",2.61,1.95,5.0,2022,69
1.0,6:15,3.0,15.0,MIN 31,0.0,7.0,Justin Fields pass incomplete short right intended for Dante Pettis,1.95,1.32,5.0,2022,69
1.0,6:11,4.0,15.0,MIN 31,3.0,7.0,Cairo Santos 50 yard field goal good,1.32,3.0,5.0,2022,69
1.0,6:06,,,CHI 35,3.0,7.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,69
1.0,6:06,1.0,10.0,MIN 25,3.0,7.0,Kirk Cousins pass complete short right to Justin Jefferson for 6 yards (tackle by Jaylon Jones),0.61,0.87,5.0,2022,69
1.0,5:31,2.0,4.0,MIN 31,3.0,7.0,Alexander Mattison right end for 6 yards (tackle by Trevis Gipson and Jaylon Jones),0.87,1.4,5.0,2022,69
1.0,4:54,1.0,10.0,MIN 37,3.0,7.0,Kirk Cousins pass complete short left to Alexander Mattison for 1 yard (tackle by Kyler Gordon),1.4,0.99,5.0,2022,69
1.0,4:08,2.0,9.0,MIN 38,3.0,7.0,Kirk Cousins pass complete short left to Justin Jefferson for 15 yards (tackle by Jaquan Brisker),0.99,2.46,5.0,2022,69
1.0,3:22,1.0,10.0,CHI 47,3.0,7.0,Alexander Mattison right end for -1 yards (tackle by Armon Watts),2.46,1.78,5.0,2022,69
1.0,2:57,2.0,11.0,CHI 48,3.0,7.0,Kirk Cousins pass complete short middle to Adam Thielen for 13 yards (tackle by Jaylon Jones),1.78,3.25,5.0,2022,69
1.0,2:16,1.0,10.0,CHI 35,3.0,7.0,Alexander Mattison up the middle for 6 yards (tackle by Roquan Smith and Mike Pennel),3.25,3.51,5.0,2022,69
1.0,1:41,2.0,4.0,CHI 29,3.0,7.0,Alexander Mattison left tackle for 2 yards (tackle by Roquan Smith and Mike Pennel),3.51,3.07,5.0,2022,69
1.0,1:03,3.0,2.0,CHI 27,3.0,7.0,Kirk Cousins pass complete short right to Adam Thielen for 7 yards (tackle by Jaylon Jones),3.07,4.24,5.0,2022,69
1.0,0:27,1.0,10.0,CHI 20,3.0,7.0,Kirk Cousins pass complete short left to Justin Jefferson for 15 yards (tackle by Kyler Gordon),4.24,6.06,5.0,2022,69
2.0,15:00,1.0,5.0,CHI 5,3.0,13.0,"Dalvin Cook right end for 5 yards, touchdown",6.06,7.0,5.0,2022,69
2.0,14:55,,,CHI 15,3.0,14.0,Greg Joseph kicks extra point good,0.0,0.0,5.0,2022,69
2.0,14:55,,,MIN 35,3.0,14.0,"Greg Joseph kicks off 66 yards, returned by Velus Jones for 15 yards (tackle by Dan Chisena)",0.0,-0.28,5.0,2022,69
2.0,14:52,1.0,10.0,CHI 14,3.0,14.0,"Justin Fields aborted snap, recovered by Justin Fields at CHI-11 and returned for 2 yards Justin Fields for no gain (tackle by Eric Kendricks) Penalty on CHI: Illegal Motion, 5 yards (declined)",-0.28,-0.85,5.0,2022,69
2.0,14:36,2.0,11.0,CHI 13,3.0,14.0,Justin Fields pass incomplete short left intended for Darnell Mooney,-0.85,-1.53,5.0,2022,69
2.0,14:36,3.0,11.0,CHI 13,3.0,14.0,Justin Fields sacked by Danielle Hunter for -4 yards,-1.53,-2.49,5.0,2022,69
2.0,13:51,4.0,15.0,CHI 9,3.0,14.0,"Trenton Gill punts 52 yards, returned by Jalen Reagor for no gain. Jalen Reagor fumbles (forced by Jaylon Jones), recovered by Jalen Reagor at MIN-49. Penalty on Kris Boyd: Offensive Holding, 10 yards (accepted)",-2.49,-0.87,5.0,2022,69
2.0,13:37,1.0,10.0,MIN 29,3.0,14.0,Dalvin Cook right end for -1 yards (tackle by Dominique Robinson and Al-Quadin Muhammad),0.87,0.19,5.0,2022,69
2.0,12:59,2.0,11.0,MIN 28,3.0,14.0,Kirk Cousins pass complete short left to K.J. Osborn for 9 yards (tackle by Kyler Gordon and Nicholas Morrow),0.19,0.7,5.0,2022,69
2.0,12:18,3.0,2.0,MIN 37,3.0,14.0,Kirk Cousins pass complete to Justin Jefferson for 31 yards (tackle by Eddie Jackson),0.7,3.45,5.0,2022,69
2.0,11:42,1.0,10.0,CHI 32,3.0,14.0,"Kirk Cousins pass complete to Dalvin Cook for no gain. Penalty on Irv Smith: Offensive Holding, 10 yards (accepted) (no play)",3.45,2.79,5.0,2022,69
2.0,11:11,1.0,20.0,CHI 42,3.0,14.0,Kirk Cousins pass complete to K.J. Osborn for 10 yards (tackle by Roquan Smith),2.79,2.9,5.0,2022,69
2.0,10:32,2.0,10.0,CHI 32,3.0,14.0,Dalvin Cook right guard for 5 yards (tackle by Nicholas Morrow and Armon Watts),2.9,2.87,5.0,2022,69
2.0,9:46,3.0,5.0,CHI 27,3.0,14.0,"Penalty on K.J. Osborn: False Start, 5 yards (accepted) (no play)",2.87,2.21,5.0,2022,69
2.0,9:34,3.0,10.0,CHI 32,3.0,14.0,Justin Jefferson pass complete to Dalvin Cook for 23 yards (tackle by Nicholas Morrow),2.21,5.14,5.0,2022,69
2.0,8:41,1.0,9.0,CHI 9,3.0,14.0,Alexander Mattison left guard for 1 yard (tackle by Dominique Robinson),5.14,4.57,5.0,2022,69
2.0,8:05,2.0,8.0,CHI 8,3.0,14.0,Alexander Mattison right guard for 7 yards (tackle by Roquan Smith),4.57,5.17,5.0,2022,69
2.0,7:23,3.0,1.0,CHI 1,3.0,20.0,"Kirk Cousins pass complete short middle to Jalen Reagor for 1 yard, touchdown",5.17,7.0,5.0,2022,69
2.0,7:20,,,CHI 15,3.0,21.0,Greg Joseph kicks extra point good,0.0,0.0,5.0,2022,69
