Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Geno Smith,SEA,0,0,0,0,0,5.0,2022,74
Kenneth Walker III,SEA,0,0,0,0,0,5.0,2022,74
Rashaad Penny,SEA,0,0,0,0,0,5.0,2022,74
DeeJay Dallas,SEA,1,1,6,0,6,5.0,2022,74
Tyler Lockett,SEA,6,5,104,2,40,5.0,2022,74
D.K. Metcalf,SEA,8,5,88,1,50,5.0,2022,74
Noah Fant,SEA,5,3,49,0,32,5.0,2022,74
Will Dissly,SEA,3,2,21,0,15,5.0,2022,74
D'Wayne Eskridge,SEA,1,0,0,0,0,5.0,2022,74
Michael Dickson,SEA,0,0,0,0,0,5.0,2022,74
Andy Dalton,NOR,0,0,0,0,0,5.0,2022,74
Taysom Hill,NOR,0,0,0,0,0,5.0,2022,74
Alvin Kamara,NOR,6,6,91,0,54,5.0,2022,74
Mark Ingram,NOR,0,0,0,0,0,5.0,2022,74
Chris Olave,NOR,6,4,54,1,18,5.0,2022,74
Adam Trautman,NOR,3,2,32,1,22,5.0,2022,74
Juwan Johnson,NOR,2,1,13,0,13,5.0,2022,74
Tre'Quan Smith,NOR,4,1,10,0,10,5.0,2022,74
Marquez Callaway,NOR,3,2,5,0,4,5.0,2022,74
Keith Kirkwood,NOR,1,1,4,0,4,5.0,2022,74
