Unnamed: 0,NYG,GNB,week,year,game_id
First Downs,24,22,5.0,2022,66
Rush-Yds-TDs,31-125-3,20-94-0,5.0,2022,66
Cmp-Att-Yd-TD-INT,21-27-217-0-0,25-39-222-2-0,5.0,2022,66
Sacked-Yards,1-4,2-15,5.0,2022,66
Net Pass Yards,213,207,5.0,2022,66
Total Yards,338,301,5.0,2022,66
Fumbles-Lost,1-0,2-0,5.0,2022,66
Turnovers,0,0,5.0,2022,66
Penalties-Yards,6-63,7-37,5.0,2022,66
Third Down Conv.,6-11,4-10,5.0,2022,66
Fourth Down Conv.,0-1,0-1,5.0,2022,66
Time of Possession,32:11,27:49,5.0,2022,66
