Unnamed: 0,DET,NWE,week,year,game_id
First Downs,17,22,5.0,2022,71
Rush-Yds-TDs,27-101-0,35-176-0,5.0,2022,71
Cmp-Att-Yd-TD-INT,19-35-229-0-1,17-21-188-1-1,5.0,2022,71
Sacked-Yards,2-18,0-0,5.0,2022,71
Net Pass Yards,211,188,5.0,2022,71
Total Yards,312,364,5.0,2022,71
Fumbles-Lost,1-1,1-0,5.0,2022,71
Turnovers,2,1,5.0,2022,71
Penalties-Yards,7-82,6-46,5.0,2022,71
Third Down Conv.,4-12,3-9,5.0,2022,71
Fourth Down Conv.,0-6,0-0,5.0,2022,71
Time of Possession,28:31,31:29,5.0,2022,71
