Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Bills,35.0,20.66,17.2,2.77,-11.7,9.42,3.64,5.13,2.87,3.54,0.38,0.89,0.22,-1.4,3.45,5.0,2022,68
Steelers,-35.0,-9.42,-3.64,-5.13,-2.87,-20.66,-17.2,-2.77,11.7,-3.54,-0.89,-0.38,1.4,-0.22,-3.45,5.0,2022,68
