Quarter,Time,Down,ToGo,Location,NYG,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Packers to receive the opening kickoff.",,,5.0,2022,66
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 59 yards, returned by Christian Watson for 18 yards (tackle by Carter Coughlin and Cam Brown)",0.0,0.54,5.0,2022,66
1.0,14:55,1.0,10.0,GNB 24,0.0,0.0,Aaron Jones right end for 2 yards (tackle by Adoree' Jackson and Dexter Lawrence),0.54,0.27,5.0,2022,66
1.0,14:20,2.0,8.0,GNB 26,0.0,0.0,Aaron Rodgers pass incomplete short right intended for Randall Cobb (defended by Kayvon Thibodeaux),0.27,-0.43,5.0,2022,66
1.0,14:16,3.0,8.0,GNB 26,0.0,0.0,Aaron Rodgers pass complete deep middle to Randall Cobb for 35 yards (tackle by Julian Love),-0.43,2.98,5.0,2022,66
1.0,13:32,1.0,10.0,NYG 39,0.0,0.0,AJ Dillon right tackle for 7 yards (tackle by Adoree' Jackson),2.98,3.39,5.0,2022,66
1.0,12:48,2.0,3.0,NYG 32,0.0,0.0,AJ Dillon right guard for 5 yards (tackle by Dexter Lawrence and Nick Williams),3.39,3.78,5.0,2022,66
1.0,12:07,1.0,10.0,NYG 27,0.0,0.0,Aaron Rodgers pass incomplete deep left intended for Tyler Davis,3.78,3.23,5.0,2022,66
1.0,12:00,2.0,10.0,NYG 27,0.0,0.0,Aaron Jones right tackle for 5 yards (tackle by Adoree' Jackson and Jaylon Smith),3.23,3.2,5.0,2022,66
1.0,11:14,3.0,5.0,NYG 22,0.0,0.0,Aaron Rodgers pass incomplete short right intended for Aaron Jones,3.2,2.04,5.0,2022,66
1.0,11:10,4.0,5.0,NYG 22,0.0,0.0,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",2.04,1.67,5.0,2022,66
1.0,11:06,4.0,10.0,NYG 27,0.0,3.0,Mason Crosby 46 yard field goal good,1.67,3.0,5.0,2022,66
1.0,11:05,,,GNB 35,0.0,3.0,"Mason Crosby kicks off 62 yards, returned by Gary Brightwell for 21 yards (tackle by Rasul Douglas)",0.0,0.54,5.0,2022,66
1.0,11:00,1.0,10.0,NYG 24,0.0,3.0,Saquon Barkley right tackle for 5 yards (tackle by Kenny Clark),0.54,0.54,5.0,2022,66
1.0,10:24,2.0,6.0,NYG 28,0.0,3.0,Saquon Barkley up the middle for 1 yard (tackle by Kenny Clark and Preston Smith),0.54,0.1,5.0,2022,66
1.0,9:40,3.0,4.0,NYG 30,0.0,3.0,Daniel Jones pass incomplete short right intended for Saquon Barkley,0.1,-1.37,5.0,2022,66
1.0,9:36,4.0,4.0,NYG 30,0.0,3.0,"Jamie Gillan punts 42 yards, fair catch by Amari Rodgers at GB-28",-1.37,-0.81,5.0,2022,66
