#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,IND 25,3,1:23,8,Punt,0,Colts,5.0,2022,65
2,1,9:28,IND 25,4,3:03,24,Punt,0,Colts,5.0,2022,65
3,1,5:15,IND 40,3,1:03,1,Punt,0,Colts,5.0,2022,65
4,1,2:41,IND 32,3,2:29,-11,Punt,0,Colts,5.0,2022,65
5,2,10:58,IND 25,9,5:19,51,Interception,0,Colts,5.0,2022,65
6,2,3:48,IND 15,14,3:36,52,Field Goal,0,Colts,5.0,2022,65
7,3,12:48,IND 34,9,3:57,34,Field Goal,0,Colts,5.0,2022,65
8,3,4:30,IND 24,3,0:52,-5,Interception,0,Colts,5.0,2022,65
9,3,3:19,IND 25,3,1:27,4,Punt,0,Colts,5.0,2022,65
10,4,14:07,IND 39,5,3:23,16,Punt,0,Colts,5.0,2022,65
11,4,8:33,IND 29,3,1:46,5,Punt,0,Colts,5.0,2022,65
12,4,2:13,IND 20,10,2:08,67,Field Goal,0,Colts,5.0,2022,65
13,5,10:00,IND 25,8,4:10,45,Field Goal,0,Colts,5.0,2022,65
