Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Bengals to receive the opening kickoff.",,,5.0,2022,79
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,79
1.0,15:00,1.0,10.0,CIN 25,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 11 yards (tackle by Odafe Oweh),0.61,1.33,5.0,2022,79
1.0,14:22,1.0,10.0,CIN 36,0.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for no gain (tackle by Marcus Peters),1.33,0.79,5.0,2022,79
1.0,13:45,2.0,10.0,CIN 36,0.0,0.0,Joe Burrow pass complete short right to Joe Mixon for 6 yards (tackle by Patrick Queen),0.79,0.89,5.0,2022,79
1.0,13:09,3.0,4.0,CIN 42,0.0,0.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,0.89,-0.59,5.0,2022,79
1.0,13:03,4.0,4.0,CIN 42,0.0,0.0,Kevin Huber punts 28 yards out of bounds,-0.59,-0.94,5.0,2022,79
1.0,12:57,1.0,10.0,BAL 30,0.0,0.0,Lamar Jackson pass complete short left to Mark Andrews for 7 yards (tackle by Logan Wilson and Jessie Bates),0.94,1.34,5.0,2022,79
1.0,12:08,2.0,3.0,BAL 37,0.0,0.0,J.K. Dobbins left guard for 3 yards (tackle by B.J. Hill and Germaine Pratt),1.34,1.6,5.0,2022,79
1.0,11:18,1.0,10.0,BAL 40,0.0,0.0,"Tyler Linderbaum aborted snap, recovered by Devin Duvernay at BAL-40 Devin Duvernay right end for no gain (tackle by Logan Wilson)",1.6,2.39,5.0,2022,79
1.0,10:44,1.0,10.0,CIN 48,0.0,0.0,Lamar Jackson pass complete short left to Devin Duvernay for 9 yards (tackle by Chidobe Awuzie),2.39,3.06,5.0,2022,79
1.0,10:22,2.0,1.0,CIN 39,0.0,0.0,J.K. Dobbins left tackle for 6 yards (tackle by Vonn Bell and Chidobe Awuzie),3.06,3.38,5.0,2022,79
1.0,9:41,1.0,10.0,CIN 33,0.0,0.0,Devin Duvernay left end for 12 yards (tackle by Logan Wilson),3.38,4.17,5.0,2022,79
1.0,8:55,1.0,10.0,CIN 21,0.0,0.0,Lamar Jackson pass incomplete short right,4.17,3.63,5.0,2022,79
1.0,8:49,2.0,10.0,CIN 21,0.0,0.0,Lamar Jackson pass incomplete short middle intended for James Proche,3.63,2.94,5.0,2022,79
1.0,8:46,3.0,10.0,CIN 21,0.0,0.0,Lamar Jackson pass complete short middle to Isaiah Likely for 2 yards (tackle by Daxton Hill),2.94,2.18,5.0,2022,79
1.0,8:07,4.0,8.0,CIN 19,0.0,3.0,Justin Tucker 37 yard field goal good,2.18,3.0,5.0,2022,79
1.0,8:03,,,BAL 35,0.0,3.0,"Justin Tucker kicks off 63 yards, returned by Chris Evans for 29 yards (tackle by Kristian Welch and Daryl Worley)",0.0,1.0,5.0,2022,79
1.0,7:57,1.0,10.0,CIN 31,0.0,3.0,Joe Mixon left end for -2 yards (tackle by Odafe Oweh and Jason Pierre-Paul),1.0,0.19,5.0,2022,79
1.0,7:21,2.0,12.0,CIN 29,0.0,3.0,Ja'Marr Chase right end for no gain (tackle by Marcus Peters),0.19,-0.49,5.0,2022,79
1.0,6:45,3.0,12.0,CIN 29,0.0,3.0,Joe Burrow sacked by Jason Pierre-Paul for -8 yards,-0.49,-1.96,5.0,2022,79
1.0,6:09,4.0,20.0,CIN 21,0.0,3.0,"Kevin Huber punts 51 yards, returned by Devin Duvernay for 4 yards (tackle by Stanley Morgan)",-1.96,-1.07,5.0,2022,79
1.0,5:55,1.0,10.0,BAL 32,0.0,3.0,J.K. Dobbins left guard for 17 yards (tackle by Jessie Bates),1.07,2.19,5.0,2022,79
