Quarter,Time,Down,ToGo,Location,PHI,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,5.0,2022,77
1.0,15:00,,,PHI 35,0.0,0.0,"Cameron Dicker kicks off 67 yards, returned by Eno Benjamin for 19 yards (tackle by Zech McPhearson and Reed Blankenship)",0.0,-0.06,5.0,2022,77
1.0,14:55,1.0,10.0,ARI 17,0.0,0.0,James Conner up the middle for 4 yards (tackle by Javon Hargrave),-0.06,0.08,5.0,2022,77
1.0,14:24,2.0,6.0,ARI 21,0.0,0.0,Kyler Murray pass complete short left to Zach Ertz for 6 yards (tackle by Jordan Davis),0.08,0.74,5.0,2022,77
1.0,13:51,1.0,10.0,ARI 27,0.0,0.0,Rondale Moore right end for -2 yards (tackle by Josiah Scott),0.74,-0.07,5.0,2022,77
1.0,13:18,2.0,12.0,ARI 25,0.0,0.0,Kyler Murray pass complete short left to Rondale Moore for 3 yards (tackle by C.J. Gardner-Johnson),-0.07,-0.36,5.0,2022,77
1.0,12:33,3.0,9.0,ARI 28,0.0,0.0,Kyler Murray pass incomplete short left,-0.36,-1.5,5.0,2022,77
1.0,12:26,4.0,9.0,ARI 28,0.0,0.0,"Andy Lee punts 51 yards, returned by Britain Covey for 15 yards (tackle by Victor Dimukeje and Tanner Vallejo)",-1.5,-1.33,5.0,2022,77
1.0,12:15,1.0,10.0,PHI 36,0.0,0.0,Jalen Hurts pass incomplete short right intended for Miles Sanders,1.33,0.79,5.0,2022,77
1.0,12:09,2.0,10.0,PHI 36,0.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for 14 yards (tackle by Zaven Collins),0.79,2.26,5.0,2022,77
1.0,11:44,1.0,10.0,PHI 50,0.0,0.0,Miles Sanders up the middle for 2 yards (tackle by Zach Allen and Leki Fotu),2.26,1.98,5.0,2022,77
1.0,11:05,2.0,8.0,ARI 48,0.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for 10 yards (tackle by Marco Wilson and Budda Baker),1.98,3.05,5.0,2022,77
1.0,10:27,1.0,10.0,ARI 38,0.0,0.0,Jalen Hurts pass complete short left to A.J. Brown for 15 yards (tackle by Marco Wilson),3.05,4.04,5.0,2022,77
1.0,10:20,1.0,10.0,ARI 23,0.0,0.0,Jalen Hurts pass complete short left to A.J. Brown for 11 yards (tackle by Marco Wilson),4.04,4.78,5.0,2022,77
1.0,9:44,1.0,10.0,ARI 12,0.0,0.0,Jalen Hurts pass incomplete short right intended for A.J. Brown,4.78,4.1,5.0,2022,77
1.0,9:40,2.0,10.0,ARI 12,0.0,0.0,Miles Sanders up the middle for 3 yards (tackle by Jonathan Ledbetter),4.1,3.7,5.0,2022,77
1.0,9:01,3.0,7.0,ARI 9,0.0,0.0,Jalen Hurts pass complete short left to A.J. Brown for 6 yards (tackle by Marco Wilson),3.7,3.06,5.0,2022,77
1.0,8:40,4.0,1.0,ARI 3,0.0,0.0,Jalen Hurts up the middle for 2 yards (tackle by Zaven Collins and Zach Allen),3.06,6.97,5.0,2022,77
1.0,8:06,1.0,1.0,ARI 1,6.0,0.0,"Jalen Hurts up the middle for 1 yard, touchdown",6.97,7.0,5.0,2022,77
1.0,8:02,,,ARI 15,7.0,0.0,Cameron Dicker kicks extra point good,0.0,0.0,5.0,2022,77
1.0,8:02,,,PHI 35,7.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,77
1.0,8:02,1.0,10.0,ARI 25,7.0,0.0,"Kyler Murray pass deep middle intended for Marquise Brown is intercepted by C.J. Gardner-Johnson at PHI-35 and returned for 15 yards (tackle by Marquise Brown) Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Kyler Murray pass deep middle intended for Marquise Brown is intercepted by C.J. Gardner-Johnson at PHI-35 and returned for no gain (tackle by Marquise Brown)",0.61,-1.27,5.0,2022,77
