Quarter,Time,Tm,Detail,SEA,NOR,week,year,game_id
1.0,9:34,Saints,Wil Lutz 56 yard field goal,0,3,5.0,2022,74
,6:41,Seahawks,D.K. Metcalf 50 yard pass from Geno Smith (Jason Myers kick),7,3,5.0,2022,74
,1:13,Seahawks,Jason Myers 56 yard field goal,10,3,5.0,2022,74
2.0,10:54,Saints,Taysom Hill 8 yard rush (Wil Lutz kick),10,10,5.0,2022,74
,3:34,Saints,Taysom Hill 9 yard rush (Wil Lutz kick),10,17,5.0,2022,74
,1:42,Seahawks,Jason Myers 31 yard field goal,13,17,5.0,2022,74
,0:07,Seahawks,Tyler Lockett 35 yard pass from Geno Smith (Jason Myers kick failed),19,17,5.0,2022,74
3.0,12:03,Saints,Chris Olave 16 yard pass from Andy Dalton (Wil Lutz kick),19,24,5.0,2022,74
,0:40,Saints,Adam Trautman 22 yard pass from Taysom Hill (Wil Lutz kick),19,31,5.0,2022,74
4.0,14:08,Seahawks,Tyler Lockett 40 yard pass from Geno Smith (pass failed),25,31,5.0,2022,74
,6:54,Seahawks,Kenneth Walker III 69 yard rush (Jason Myers kick),32,31,5.0,2022,74
,5:22,Saints,Taysom Hill 60 yard rush (Mark Ingram run),32,39,5.0,2022,74
