Unnamed: 0,CHI,MIN,week,year,game_id
First Downs,14,29,5.0,2022,69
Rush-Yds-TDs,24-78-1,31-117-3,5.0,2022,69
Cmp-Att-Yd-TD-INT,15-21-208-1-0,33-42-319-1-1,5.0,2022,69
Sacked-Yards,2-15,1-7,5.0,2022,69
Net Pass Yards,193,312,5.0,2022,69
Total Yards,271,429,5.0,2022,69
Fumbles-Lost,3-1,1-0,5.0,2022,69
Turnovers,1,1,5.0,2022,69
Penalties-Yards,6-40,7-70,5.0,2022,69
Third Down Conv.,4-10,12-15,5.0,2022,69
Fourth Down Conv.,1-1,0-0,5.0,2022,69
Time of Possession,23:16,36:44,5.0,2022,69
