Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,5.0,2022,67
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 64 yards, returned by Rachaad White for 18 yards (tackle by KhaDarel Hodge)",0.0,0.15,5.0,2022,67
1.0,14:56,1.0,10.0,TAM 19,0.0,0.0,Tom Brady pass incomplete short left intended for Leonard Fournette,0.15,-0.39,5.0,2022,67
1.0,14:53,2.0,10.0,TAM 19,0.0,0.0,Leonard Fournette left tackle for 14 yards (tackle by Jaylinn Hawkins and Mykal Walker),-0.39,1.14,5.0,2022,67
1.0,14:19,1.0,10.0,TAM 33,0.0,0.0,Leonard Fournette up the middle for 2 yards (tackle by Ta'Quon Graham),1.14,0.86,5.0,2022,67
1.0,13:50,2.0,8.0,TAM 35,0.0,0.0,Tom Brady pass incomplete short middle intended for Kyle Rudolph,0.86,0.17,5.0,2022,67
1.0,13:44,3.0,8.0,TAM 35,0.0,0.0,Tom Brady pass incomplete short right intended for Russell Gage,0.17,-1.04,5.0,2022,67
1.0,13:39,4.0,8.0,TAM 35,0.0,0.0,"Jake Camarda punts 65 yards, touchback.",-1.04,-0.28,5.0,2022,67
1.0,13:28,1.0,10.0,ATL 20,0.0,0.0,Marcus Mariota pass incomplete short right intended for Drake London (defended by Carlton Davis),0.28,-0.27,5.0,2022,67
1.0,13:24,2.0,10.0,ATL 20,0.0,0.0,"Tyler Allgeier up the middle for no gain (tackle by Lavonte David). Penalty on Keanu Neal: Defensive Offside, 5 yards (accepted) (no play)",-0.27,0.41,5.0,2022,67
1.0,13:01,2.0,5.0,ATL 25,0.0,0.0,Tyler Allgeier left end for -4 yards (tackle by Antoine Winfield),0.41,-0.82,5.0,2022,67
1.0,12:18,3.0,9.0,ATL 21,0.0,0.0,Marcus Mariota pass complete short left to Anthony Firkser for 11 yards (tackle by Sean Murphy-Bunting),-0.82,1.07,5.0,2022,67
1.0,11:34,1.0,10.0,ATL 32,0.0,0.0,Marcus Mariota pass incomplete short left intended for Feleipe Franks (defended by Antoine Winfield),1.07,0.53,5.0,2022,67
1.0,11:26,2.0,10.0,ATL 32,0.0,0.0,Marcus Mariota pass incomplete short middle intended for Damiere Byrd,0.53,-0.16,5.0,2022,67
1.0,11:23,3.0,10.0,ATL 32,0.0,0.0,Marcus Mariota sacked by Joe Tryon-Shoyinka for -7 yards,-0.16,-1.7,5.0,2022,67
1.0,10:51,4.0,17.0,ATL 25,0.0,0.0,"Bradley Pinion punts 52 yards, fair catch by Jaelon Darden at TB-23",-1.7,-0.48,5.0,2022,67
1.0,10:43,1.0,10.0,TAM 23,0.0,0.0,Leonard Fournette left guard for 6 yards (tackle by Mykal Walker),0.48,0.74,5.0,2022,67
1.0,10:12,2.0,4.0,TAM 29,0.0,0.0,Leonard Fournette right tackle for 3 yards (tackle by Grady Jarrett),0.74,0.43,5.0,2022,67
1.0,9:28,3.0,1.0,TAM 32,0.0,0.0,Tom Brady pass complete deep left to Chris Godwin for 20 yards (tackle by Jaylinn Hawkins),0.43,2.39,5.0,2022,67
1.0,8:49,1.0,10.0,ATL 48,0.0,0.0,Tom Brady pass complete short right to Leonard Fournette for 11 yards (tackle by Jaylinn Hawkins),2.39,3.12,5.0,2022,67
1.0,8:09,1.0,10.0,ATL 37,0.0,0.0,Leonard Fournette left guard for 2 yards (tackle by Mykal Walker),3.12,2.84,5.0,2022,67
1.0,7:35,2.0,8.0,ATL 35,0.0,0.0,Tom Brady pass complete short right to Chris Godwin for 5 yards (tackle by Richie Grant),2.84,2.81,5.0,2022,67
1.0,6:58,3.0,3.0,ATL 30,0.0,0.0,Tom Brady pass complete short right to Chris Godwin for 6 yards (tackle by DeAundre Alford),2.81,3.97,5.0,2022,67
1.0,6:16,1.0,10.0,ATL 24,0.0,0.0,Tom Brady pass complete short left to Rachaad White for 7 yards (tackle by Grady Jarrett),3.97,4.46,5.0,2022,67
1.0,5:29,2.0,3.0,ATL 17,0.0,0.0,Tom Brady pass incomplete short middle intended for Russell Gage,4.46,3.75,5.0,2022,67
1.0,5:25,3.0,3.0,ATL 17,0.0,0.0,Tom Brady pass complete short middle to Cade Otton for 2 yards (tackle by Richie Grant),3.75,2.59,5.0,2022,67
1.0,4:57,4.0,1.0,ATL 15,0.0,0.0,Leonard Fournette left guard for no gain (tackle by Adetokunbo Ogundeji and Jaylinn Hawkins),2.59,0.22,5.0,2022,67
1.0,4:52,1.0,10.0,ATL 15,0.0,0.0,Caleb Huntley left end for -1 yards (tackle by Antoine Winfield),-0.22,-0.82,5.0,2022,67
1.0,4:09,2.0,11.0,ATL 14,0.0,0.0,Tyler Allgeier left end for 17 yards (tackle by Antoine Winfield and Devin White),-0.82,1.0,5.0,2022,67
1.0,3:30,1.0,10.0,ATL 31,0.0,0.0,Marcus Mariota pass incomplete deep right intended for Drake London,1.0,0.46,5.0,2022,67
1.0,3:26,2.0,10.0,ATL 31,0.0,0.0,Tyler Allgeier left tackle for 1 yard (tackle by Anthony Nelson),0.46,-0.1,5.0,2022,67
1.0,2:53,3.0,9.0,ATL 32,0.0,0.0,Marcus Mariota scrambles left end for 16 yards (tackle by Keanu Neal),-0.1,2.13,5.0,2022,67
1.0,2:08,1.0,10.0,ATL 48,0.0,0.0,Caleb Huntley up the middle for 4 yards (tackle by Carl Nassib),2.13,2.12,5.0,2022,67
1.0,1:29,2.0,6.0,TAM 48,0.0,0.0,Caleb Huntley left end for -1 yards (tackle by Logan Hall),2.12,1.29,5.0,2022,67
1.0,0:52,3.0,7.0,TAM 49,0.0,0.0,"Marcus Mariota pass complete deep left to Drake London for 24 yards (tackle by Antoine Winfield). Penalty on Drew Dalman: Offensive Holding, 10 yards (accepted) (no play)",1.29,-0.03,5.0,2022,67
1.0,0:24,3.0,17.0,ATL 41,0.0,0.0,Marcus Mariota pass complete short right to Bryan Edwards for 10 yards (tackle by Carlton Davis),-0.03,0.0,5.0,2022,67
2.0,15:00,4.0,7.0,TAM 49,0.0,0.0,Bradley Pinion punts 37 yards downed by Troy Andersen,0.0,0.35,5.0,2022,67
2.0,14:52,1.0,10.0,TAM 12,0.0,0.0,Tom Brady pass complete short middle to Cade Otton for 7 yards (tackle by Mykal Walker and DeAundre Alford),-0.35,0.1,5.0,2022,67
2.0,14:23,2.0,3.0,TAM 19,0.0,0.0,Rachaad White right guard for 7 yards (tackle by Lorenzo Carter),0.1,0.67,5.0,2022,67
2.0,14:01,1.0,10.0,TAM 26,0.0,0.0,Tom Brady pass complete short middle to Rachaad White for 9 yards (tackle by Mykal Walker and Rashaan Evans),0.67,1.35,5.0,2022,67
2.0,13:39,2.0,1.0,TAM 35,0.0,0.0,Tom Brady pass incomplete short left intended for Rachaad White,1.35,0.63,5.0,2022,67
2.0,13:35,3.0,1.0,TAM 35,0.0,0.0,Rachaad White up the middle for 4 yards (tackle by Rashaan Evans),0.63,1.53,5.0,2022,67
2.0,13:06,1.0,10.0,TAM 39,0.0,0.0,Tom Brady pass complete short left to Leonard Fournette for 5 yards (tackle by DeAundre Alford),1.53,1.66,5.0,2022,67
2.0,12:41,2.0,5.0,TAM 44,0.0,0.0,Tom Brady pass complete short left to Cade Otton for 12 yards (tackle by Richie Grant),1.66,2.65,5.0,2022,67
2.0,12:18,1.0,10.0,ATL 44,0.0,0.0,Tom Brady pass incomplete deep right intended for Scott Miller (defended by Casey Hayward),2.65,2.11,5.0,2022,67
2.0,12:12,2.0,10.0,ATL 44,0.0,0.0,Tom Brady pass complete short left to Leonard Fournette for 7 yards (tackle by Rashaan Evans and AJ Terrell),2.11,2.35,5.0,2022,67
2.0,11:43,3.0,3.0,ATL 37,0.0,0.0,Tom Brady pass complete deep left to Mike Evans for 25 yards (tackle by Jaylinn Hawkins),2.35,4.78,5.0,2022,67
2.0,11:02,1.0,10.0,ATL 12,0.0,0.0,"Leonard Fournette left end for no gain (tackle by Rashaan Evans). Penalty on Ko Kieft: Offensive Holding, 10 yards (accepted) (no play)",4.78,4.11,5.0,2022,67
2.0,10:36,1.0,20.0,ATL 22,0.0,0.0,Tom Brady pass complete short middle to Scott Miller for 12 yards (tackle by Richie Grant),4.11,4.45,5.0,2022,67
2.0,10:04,2.0,8.0,ATL 10,0.0,0.0,Tom Brady pass complete short left to Chris Godwin for 9 yards (tackle by Jaylinn Hawkins),4.45,6.97,5.0,2022,67
2.0,9:34,1.0,1.0,ATL 1,0.0,6.0,"Leonard Fournette right guard for 1 yard, touchdown",6.97,7.0,5.0,2022,67
2.0,9:31,,,ATL 15,0.0,7.0,Ryan Succop kicks extra point good,0.0,0.0,5.0,2022,67
2.0,9:31,,,TAM 35,0.0,7.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,67
2.0,9:31,1.0,10.0,ATL 25,0.0,7.0,Marcus Mariota pass incomplete deep left intended for Feleipe Franks,0.61,0.06,5.0,2022,67
2.0,9:25,2.0,10.0,ATL 25,0.0,7.0,Marcus Mariota pass incomplete deep right intended for KhaDarel Hodge,0.06,-0.62,5.0,2022,67
2.0,9:17,3.0,10.0,ATL 25,0.0,7.0,Marcus Mariota pass complete short middle to KhaDarel Hodge for 11 yards (tackle by Keanu Neal),-0.62,1.33,5.0,2022,67
2.0,8:35,1.0,10.0,ATL 36,0.0,7.0,Caleb Huntley up the middle for 7 yards (tackle by Devin White and Antoine Winfield),1.33,1.74,5.0,2022,67
2.0,7:59,2.0,3.0,ATL 43,0.0,7.0,Caleb Huntley up the middle for 3 yards (tackle by Shaquil Barrett and Lavonte David),1.74,1.99,5.0,2022,67
2.0,7:20,1.0,10.0,ATL 46,0.0,7.0,Marcus Mariota pass complete short right to Avery Williams for no gain (tackle by Carlton Davis),1.99,1.45,5.0,2022,67
2.0,6:44,2.0,10.0,ATL 46,0.0,7.0,Tyler Allgeier up the middle for 3 yards (tackle by Shaquil Barrett),1.45,1.16,5.0,2022,67
