Quarter,Time,Down,ToGo,Location,TEN,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Titans to receive the opening kickoff.",,,5.0,2022,75
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,75
1.0,15:00,1.0,10.0,TEN 25,0.0,0.0,Ryan Tannehill sacked by Montez Sweat for -7 yards,0.61,-0.98,5.0,2022,75
1.0,14:19,2.0,17.0,TEN 18,0.0,0.0,Ryan Tannehill pass complete short middle to Nick Westbrook-Ikhine for 11 yards (tackle by Jamin Davis),-0.98,-0.1,5.0,2022,75
1.0,13:39,3.0,6.0,TEN 29,0.0,0.0,Ryan Tannehill pass incomplete short middle intended for Robert Woods,-0.1,-1.44,5.0,2022,75
1.0,13:33,4.0,6.0,TEN 29,0.0,0.0,Ryan Stonehouse punts 38 yards downed by Hassan Haskins,-1.44,-1.14,5.0,2022,75
1.0,13:24,1.0,10.0,WAS 33,0.0,0.0,Antonio Gibson right guard for 3 yards (tackle by Teair Tart and David Long),1.14,1.0,5.0,2022,75
1.0,12:44,2.0,7.0,WAS 36,0.0,0.0,"Carson Wentz aborted snap, recovered by Carson Wentz at WAS-31 Carson Wentz for 3 yards (tackle by Dylan Cole)",1.0,0.7,5.0,2022,75
1.0,12:08,3.0,4.0,WAS 39,0.0,0.0,Carson Wentz pass incomplete short right intended for Curtis Samuel,0.7,-0.78,5.0,2022,75
1.0,12:03,4.0,4.0,WAS 39,0.0,0.0,Tress Way punts 41 yards downed by Dyami Brown,-0.78,-0.28,5.0,2022,75
1.0,11:53,1.0,10.0,TEN 20,0.0,0.0,Derrick Henry left tackle for 4 yards (tackle by Jonathan Allen and Casey Toohill),0.28,0.27,5.0,2022,75
1.0,11:19,2.0,6.0,TEN 24,0.0,0.0,Derrick Henry right tackle for 4 yards (tackle by Cole Holcomb),0.27,0.1,5.0,2022,75
1.0,10:43,3.0,2.0,TEN 28,0.0,0.0,"Penalty on Montez Sweat: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.1,1.14,5.0,2022,75
1.0,10:21,1.0,10.0,TEN 33,0.0,0.0,Derrick Henry right end for -4 yards (tackle by Montez Sweat),1.14,0.05,5.0,2022,75
1.0,9:36,2.0,14.0,TEN 29,0.0,0.0,Ryan Tannehill pass complete short middle to Kyle Philips for 7 yards (tackle by Cole Holcomb),0.05,0.3,5.0,2022,75
1.0,8:29,3.0,7.0,TEN 36,0.0,0.0,"Ryan Tannehill pass incomplete intended for Dontrell Hilliard. Penalty on Dennis Daley: Offensive Holding, 10 yards (offset) . Penalty on Cole Holcomb: Illegal Contact, 5 yards (offset) (no play)",0.3,0.3,5.0,2022,75
1.0,8:47,3.0,7.0,TEN 36,0.0,0.0,Ryan Tannehill pass incomplete deep left intended for Nick Westbrook-Ikhine,0.3,-0.98,5.0,2022,75
1.0,8:40,4.0,7.0,TEN 36,0.0,0.0,"Ryan Stonehouse punts 54 yards, returned by Dax Milne for 9 yards (tackle by Kevin Rader)",-0.98,-0.15,5.0,2022,75
1.0,8:29,1.0,10.0,WAS 19,0.0,0.0,"Brian Robinson for no gain. Penalty on Armani Rogers: Offensive Holding, 9 yards (accepted) (no play)",0.15,-0.72,5.0,2022,75
