Unnamed: 0,HOU,JAX,week,year,game_id
First Downs,15,22,5.0,2022,72
Rush-Yds-TDs,31-116-1,26-136-0,5.0,2022,72
Cmp-Att-Yd-TD-INT,16-24-140-0-0,25-47-286-0-2,5.0,2022,72
Sacked-Yards,1-8,0-0,5.0,2022,72
Net Pass Yards,132,286,5.0,2022,72
Total Yards,248,422,5.0,2022,72
Fumbles-Lost,0-0,0-0,5.0,2022,72
Turnovers,0,2,5.0,2022,72
Penalties-Yards,4-25,6-48,5.0,2022,72
Third Down Conv.,5-13,6-14,5.0,2022,72
Fourth Down Conv.,0-0,0-3,5.0,2022,72
Time of Possession,31:47,28:13,5.0,2022,72
