Unnamed: 0,CIN,BAL,week,year,game_id
First Downs,20,22,5.0,2022,79
Rush-Yds-TDs,21-101-1,28-155-0,5.0,2022,79
Cmp-Att-Yd-TD-INT,24-35-217-1-1,19-32-174-1-1,5.0,2022,79
Sacked-Yards,3-27,1-4,5.0,2022,79
Net Pass Yards,190,170,5.0,2022,79
Total Yards,291,325,5.0,2022,79
Fumbles-Lost,0-0,1-0,5.0,2022,79
Turnovers,1,1,5.0,2022,79
Penalties-Yards,4-20,6-48,5.0,2022,79
Third Down Conv.,4-10,5-11,5.0,2022,79
Fourth Down Conv.,0-1,0-1,5.0,2022,79
Time of Possession,30:01,29:59,5.0,2022,79
