Unnamed: 0,PIT,BUF,week,year,game_id
First Downs,23,21,5.0,2022,68
Rush-Yds-TDs,17-54-0,18-120-1,5.0,2022,68
Cmp-Att-Yd-TD-INT,34-52-327-0-1,22-36-432-4-1,5.0,2022,68
Sacked-Yards,3-17,0-0,5.0,2022,68
Net Pass Yards,310,432,5.0,2022,68
Total Yards,364,552,5.0,2022,68
Fumbles-Lost,1-1,1-1,5.0,2022,68
Turnovers,2,2,5.0,2022,68
Penalties-Yards,6-54,5-28,5.0,2022,68
Third Down Conv.,5-15,5-9,5.0,2022,68
Fourth Down Conv.,0-3,0-0,5.0,2022,68
Time of Possession,36:08,23:52,5.0,2022,68
