Unnamed: 0,LVR,KAN,week,year,game_id
First Downs,18,29,5.0,2022,80
Rush-Yds-TDs,24-155-1,23-103-0,5.0,2022,80
Cmp-Att-Yd-TD-INT,19-30-241-2-0,29-43-292-4-0,5.0,2022,80
Sacked-Yards,2-18,3-27,5.0,2022,80
Net Pass Yards,223,265,5.0,2022,80
Total Yards,378,368,5.0,2022,80
Fumbles-Lost,1-0,0-0,5.0,2022,80
Turnovers,0,0,5.0,2022,80
Penalties-Yards,11-99,5-72,5.0,2022,80
Third Down Conv.,5-12,7-12,5.0,2022,80
Fourth Down Conv.,1-2,0-0,5.0,2022,80
Time of Possession,28:53,31:07,5.0,2022,80
