Quarter,Time,Tm,Detail,PHI,ARI,week,year,game_id
1.0,8:02,Eagles,Jalen Hurts 1 yard rush (Cameron Dicker kick),7,0,5.0,2022,77
2.0,10:11,Eagles,Jalen Hurts 1 yard rush (Cameron Dicker kick),14,0,5.0,2022,77
,5:24,Cardinals,Marquise Brown 25 yard pass from Kyler Murray (Matt Ammendola kick),14,7,5.0,2022,77
,0:00,Cardinals,Matt Ammendola 20 yard field goal,14,10,5.0,2022,77
3.0,9:57,Eagles,Cameron Dicker 42 yard field goal,17,10,5.0,2022,77
4.0,9:43,Cardinals,Eno Benjamin 11 yard rush (Matt Ammendola kick),17,17,5.0,2022,77
,1:45,Eagles,Cameron Dicker 23 yard field goal,20,17,5.0,2022,77
