Quarter,Time,Down,ToGo,Location,HOU,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss, Texans to receive the opening kickoff.",,,5.0,2022,72
1.0,15:00,,,JAX 35,0.0,0.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,72
1.0,15:00,1.0,10.0,HOU 25,0.0,0.0,Davis Mills pass incomplete short right intended for Nico Collins (defended by Adam Gotsis),0.61,0.06,5.0,2022,72
1.0,14:56,2.0,10.0,HOU 25,0.0,0.0,Davis Mills pass complete short right to Brandin Cooks for 4 yards (tackle by Shaquill Griffin),0.06,-0.1,5.0,2022,72
1.0,14:14,3.0,6.0,HOU 29,0.0,0.0,Davis Mills pass incomplete short left intended for Brandin Cooks (defended by Darious Williams),-0.1,-1.44,5.0,2022,72
1.0,14:09,4.0,6.0,HOU 29,0.0,0.0,"Cameron Johnston punts 57 yards, returned by Jamal Agnew for 6 yards (tackle by Jalen Reeves-Maybin and Garret Wallow)",-1.44,-0.28,5.0,2022,72
1.0,13:58,1.0,10.0,JAX 20,0.0,0.0,James Robinson right guard for no gain (tackle by Kamu Grugier-Hill),0.28,-0.27,5.0,2022,72
1.0,13:22,2.0,10.0,JAX 20,0.0,0.0,Trevor Lawrence pass complete short left to Evan Engram for 1 yard (tackle by Steven Nelson),-0.27,-0.82,5.0,2022,72
1.0,12:39,3.0,9.0,JAX 21,0.0,0.0,Trevor Lawrence pass incomplete short middle intended for Zay Jones,-0.82,-1.96,5.0,2022,72
1.0,12:36,4.0,9.0,JAX 21,0.0,0.0,"Logan Cooke punts 58 yards, returned by Desmond King for 10 yards (tackle by Andrew Wingard and Chris Claybrooks)",-1.96,-1.0,5.0,2022,72
1.0,12:21,1.0,10.0,HOU 31,0.0,0.0,Davis Mills pass complete short right to Nico Collins for 16 yards (tackle by Shaquill Griffin),1.0,2.06,5.0,2022,72
1.0,11:46,1.0,10.0,HOU 47,0.0,0.0,Dameon Pierce right end for no gain (tackle by Devin Lloyd),2.06,1.52,5.0,2022,72
1.0,11:08,2.0,10.0,HOU 47,0.0,0.0,Dameon Pierce right end for 5 yards (tackle by Rayshawn Jenkins),1.52,1.49,5.0,2022,72
1.0,10:26,3.0,5.0,JAX 48,0.0,0.0,Davis Mills pass incomplete short middle intended for Rex Burkhead,1.49,0.07,5.0,2022,72
1.0,10:23,4.0,5.0,JAX 48,0.0,0.0,Cameron Johnston punts 45 yards downed by Grayland Arnold,0.07,0.38,5.0,2022,72
1.0,10:13,1.0,10.0,JAX 3,0.0,0.0,James Robinson up the middle for 2 yards (tackle by Christian Kirksey),-0.38,-0.63,5.0,2022,72
1.0,9:31,2.0,8.0,JAX 5,0.0,0.0,Travis Etienne right end for 18 yards (tackle by Jonathan Owens),-0.63,0.48,5.0,2022,72
1.0,8:59,1.0,10.0,JAX 23,0.0,0.0,Travis Etienne right end for 30 yards (tackle by Jonathan Owens),0.48,2.46,5.0,2022,72
1.0,8:31,1.0,10.0,HOU 47,0.0,0.0,Trevor Lawrence pass complete short left to Marvin Jones for 2 yards (tackle by Christian Kirksey),2.46,2.18,5.0,2022,72
1.0,7:56,2.0,8.0,HOU 45,0.0,0.0,Trevor Lawrence pass incomplete deep middle intended for Marvin Jones,2.18,1.49,5.0,2022,72
1.0,7:51,3.0,8.0,HOU 45,0.0,0.0,Trevor Lawrence pass complete short right to Zay Jones for 2 yards (tackle by Desmond King),1.49,0.4,5.0,2022,72
1.0,7:16,4.0,6.0,HOU 43,0.0,0.0,"Logan Cooke punts 39 yards, fair catch by Desmond King at HOU-4",0.4,0.38,5.0,2022,72
1.0,7:10,1.0,10.0,HOU 4,0.0,0.0,Davis Mills pass complete short right to Nico Collins for 20 yards (tackle by Shaquill Griffin),-0.38,0.54,5.0,2022,72
1.0,6:24,1.0,10.0,HOU 24,0.0,0.0,Dameon Pierce right end for 2 yards (tackle by Adam Gotsis and Devin Lloyd),0.54,0.27,5.0,2022,72
1.0,5:45,2.0,8.0,HOU 26,0.0,0.0,Davis Mills pass incomplete short middle intended for Dameon Pierce,0.27,-0.43,5.0,2022,72
1.0,5:41,3.0,8.0,HOU 26,0.0,0.0,Davis Mills pass incomplete short left intended for Brandin Cooks,-0.43,-1.63,5.0,2022,72
1.0,5:36,4.0,8.0,HOU 26,0.0,0.0,"Cameron Johnston punts 57 yards, returned by Jamal Agnew for 15 yards (tackle by Troy Hairston)",-1.63,-1.07,5.0,2022,72
1.0,5:25,1.0,10.0,JAX 32,0.0,0.0,Trevor Lawrence pass complete to Travis Etienne for 20 yards (tackle by Neville Hewitt),1.07,2.39,5.0,2022,72
