Quarter,Time,Tm,Detail,HOU,JAX,week,year,game_id
1.0,1:22,Jaguars,Riley Patterson 26 yard field goal,0,3,5.0,2022,72
2.0,12:24,Texans,Ka'imi Fairbairn 50 yard field goal,3,3,5.0,2022,72
,3:23,Texans,Ka'imi Fairbairn 51 yard field goal,6,3,5.0,2022,72
,0:06,Jaguars,Riley Patterson 45 yard field goal,6,6,5.0,2022,72
4.0,3:11,Texans,Dameon Pierce 1 yard rush (Ka'imi Fairbairn kick),13,6,5.0,2022,72
