Quarter,Time,Tm,Detail,TEN,WAS,week,year,game_id
1.0,3:58,Titans,Dontrell Hilliard 13 yard pass from Ryan Tannehill (Randy Bullock kick),7,0,5.0,2022,75
,0:26,Commanders,Joey Slye 50 yard field goal,7,3,5.0,2022,75
2.0,13:56,Commanders,Dyami Brown 75 yard pass from Carson Wentz (Joey Slye kick),7,10,5.0,2022,75
,0:14,Titans,Derrick Henry 1 yard rush (Randy Bullock kick),14,10,5.0,2022,75
3.0,4:36,Commanders,Dyami Brown 30 yard pass from Carson Wentz (Joey Slye kick),14,17,5.0,2022,75
,1:03,Titans,Derrick Henry 1 yard rush (Randy Bullock kick),21,17,5.0,2022,75
