Unnamed: 0,TEN,WAS,week,year,game_id
First Downs,15,17,5.0,2022,75
Rush-Yds-TDs,32-105-2,17-43-0,5.0,2022,75
Cmp-Att-Yd-TD-INT,15-25-181-1-0,25-38-359-2-1,5.0,2022,75
Sacked-Yards,5-45,3-17,5.0,2022,75
Net Pass Yards,136,342,5.0,2022,75
Total Yards,241,385,5.0,2022,75
Fumbles-Lost,0-0,3-0,5.0,2022,75
Turnovers,0,1,5.0,2022,75
Penalties-Yards,8-69,9-71,5.0,2022,75
Third Down Conv.,4-14,1-11,5.0,2022,75
Fourth Down Conv.,1-1,1-2,5.0,2022,75
Time of Possession,32:40,27:20,5.0,2022,75
