Quarter,Time,Tm,Detail,PIT,BUF,week,year,game_id
1.0,13:56,Bills,Gabriel Davis 98 yard pass from Josh Allen (Tyler Bass kick),0,7,5.0,2022,68
,5:38,Steelers,Chris Boswell 29 yard field goal,3,7,5.0,2022,68
,2:41,Bills,Tyler Bass 35 yard field goal,3,10,5.0,2022,68
2.0,9:29,Bills,Gabriel Davis 62 yard pass from Josh Allen (Tyler Bass kick),3,17,5.0,2022,68
,7:20,Bills,Stefon Diggs 15 yard pass from Josh Allen (Tyler Bass kick),3,24,5.0,2022,68
,1:02,Bills,Khalil Shakir 24 yard pass from Josh Allen (Tyler Bass kick),3,31,5.0,2022,68
4.0,14:03,Bills,James Cook 24 yard rush (Tyler Bass kick),3,38,5.0,2022,68
