Quarter,Time,Tm,Detail,DET,NWE,week,year,game_id
1.0,8:47,Patriots,Nick Folk 37 yard field goal,0,3,5.0,2022,71
2.0,14:14,Patriots,Nick Folk 32 yard field goal,0,6,5.0,2022,71
,3:26,Patriots,Kyle Dugger 59 yard fumble return (Nick Folk kick),0,13,5.0,2022,71
,0:00,Patriots,Nick Folk 44 yard field goal,0,16,5.0,2022,71
3.0,10:09,Patriots,Nick Folk 37 yard field goal,0,19,5.0,2022,71
,1:51,Patriots,Jakobi Meyers 24 yard pass from Bailey Zappe (Nick Folk kick),0,26,5.0,2022,71
4.0,5:01,Patriots,Nick Folk 29 yard field goal,0,29,5.0,2022,71
