Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Colts to receive the opening kickoff.",,,5.0,2022,65
1,15:00,,,DEN 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,65
1,15:00,1.0,10.0,IND 25,0.0,0.0,Matt Ryan pass incomplete short right intended for Nyheim Hines,0.61,0.06,5.0,2022,65
1,14:57,2.0,10.0,IND 25,0.0,0.0,Nyheim Hines left tackle for 3 yards (tackle by Bradley Chubb and Kareem Jackson),0.06,-0.23,5.0,2022,65
1,14:14,3.0,7.0,IND 28,0.0,0.0,Matt Ryan pass complete short left to Nyheim Hines for 5 yards (tackle by D.J. Jones and Nik Bonitto),-0.23,-1.18,5.0,2022,65
1,13:48,4.0,2.0,IND 33,0.0,0.0,Matt Haack punts 31 yards downed by Deon Jackson,-1.18,-1.33,5.0,2022,65
1,13:37,1.0,10.0,DEN 36,0.0,0.0,Melvin Gordon right guard for 3 yards (tackle by DeForest Buckner and E.J. Speed),1.33,1.2,5.0,2022,65
1,13:24,2.0,7.0,DEN 39,0.0,0.0,Russell Wilson pass complete short middle to Courtland Sutton for 5 yards (tackle by Rodney McLeod),1.2,1.16,5.0,2022,65
1,12:43,3.0,2.0,DEN 44,0.0,0.0,Russell Wilson pass complete short right to Jerry Jeudy for 11 yards (tackle by Kenny Moore),1.16,2.59,5.0,2022,65
1,12:03,1.0,10.0,IND 45,0.0,0.0,Russell Wilson pass complete short right to Melvin Gordon for 14 yards (tackle by Bobby Okereke),2.59,3.51,5.0,2022,65
1,11:28,1.0,10.0,IND 31,0.0,0.0,Melvin Gordon right guard for no gain (tackle by Byron Cowart),3.51,2.97,5.0,2022,65
1,10:57,2.0,10.0,IND 31,0.0,0.0,Russell Wilson scrambles left end for 18 yards (tackle by Rodney McLeod),2.97,4.71,5.0,2022,65
1,10:18,1.0,10.0,IND 13,0.0,0.0,Russell Wilson pass incomplete short middle intended for Courtland Sutton,4.71,4.05,5.0,2022,65
1,10:12,2.0,10.0,IND 13,0.0,0.0,Melvin Gordon right end for -2 yards (tackle by Kenny Moore),4.05,3.03,5.0,2022,65
1,9:37,3.0,12.0,IND 15,0.0,0.0,Russell Wilson pass incomplete short middle intended for Jerry Jeudy (defended by Zaire Franklin),3.03,2.44,5.0,2022,65
1,9:32,4.0,12.0,IND 15,0.0,3.0,Brandon McManus 33 yard field goal good,2.44,3.0,5.0,2022,65
1,9:28,,,DEN 35,0.0,3.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,65
1,9:28,1.0,10.0,IND 25,0.0,3.0,Matt Ryan pass complete short left to Deon Jackson for 21 yards (tackle by Mike Purcell),0.61,1.99,5.0,2022,65
1,8:44,1.0,10.0,IND 46,0.0,3.0,Deon Jackson right guard for 5 yards (tackle by Matt Henningsen and Josey Jewell),1.99,2.13,5.0,2022,65
1,7:59,2.0,5.0,DEN 49,0.0,3.0,Matt Ryan sacked by D.J. Jones for -6 yards,2.13,0.63,5.0,2022,65
1,7:16,3.0,11.0,IND 45,0.0,3.0,Matt Ryan pass complete short right to Deon Jackson for 4 yards (tackle by Josey Jewell and Patrick Surtain),0.63,-0.13,5.0,2022,65
1,6:33,4.0,7.0,IND 49,0.0,3.0,"Matt Haack punts 37 yards, fair catch by Montrell Washington at DEN-14",-0.13,0.28,5.0,2022,65
1,6:25,1.0,10.0,DEN 14,0.0,3.0,Melvin Gordon right tackle for no gain (tackle by Kenny Moore),-0.28,-0.75,5.0,2022,65
1,5:56,2.0,10.0,DEN 14,0.0,3.0,Russell Wilson pass incomplete short middle intended for Eric Saubert,-0.75,-1.4,5.0,2022,65
1,5:55,3.0,10.0,DEN 14,0.0,3.0,Russell Wilson sacked by Yannick Ngakoue for -4 yards,-1.4,-2.49,5.0,2022,65
1,5:23,4.0,14.0,DEN 10,0.0,3.0,"Corliss Waitman punts 50 yards, fair catch by Isaiah Rodgers at IND-40",-2.49,-1.6,5.0,2022,65
1,5:15,1.0,10.0,IND 40,0.0,3.0,Matt Ryan pass incomplete short right intended for Michael Pittman (defended by Caden Sterns),1.6,1.05,5.0,2022,65
1,5:09,2.0,10.0,IND 40,0.0,3.0,Deon Jackson left guard for 1 yard (tackle by Josey Jewell and Mike Purcell),1.05,0.5,5.0,2022,65
