Unnamed: 0,ATL,TAM,week,year,game_id
First Downs,19,26,5.0,2022,67
Rush-Yds-TDs,31-151-1,23-69-1,5.0,2022,67
Cmp-Att-Yd-TD-INT,14-25-147-1-0,35-52-351-1-0,5.0,2022,67
Sacked-Yards,5-37,0-0,5.0,2022,67
Net Pass Yards,110,351,5.0,2022,67
Total Yards,261,420,5.0,2022,67
Fumbles-Lost,1-0,0-0,5.0,2022,67
Turnovers,0,0,5.0,2022,67
Penalties-Yards,6-55,6-45,5.0,2022,67
Third Down Conv.,6-14,9-16,5.0,2022,67
Fourth Down Conv.,1-1,0-1,5.0,2022,67
Time of Possession,30:34,29:26,5.0,2022,67
