0,1,week,year,game_id
Won Toss,Bears (deferred),5.0,2022,69
Roof,dome,5.0,2022,69
Surface,sportturf,5.0,2022,69
Duration,2:52,5.0,2022,69
Attendance,66929,5.0,2022,69
Vegas Line,Minnesota Vikings -7.5,5.0,2022,69
Over/Under,44.0 (over),5.0,2022,69
