Unnamed: 0,IND,DEN,week,year,game_id
First Downs,19,18,5.0,2022,65
Rush-Yds-TDs,26-106-0,28-125-0,5.0,2022,65
Cmp-Att-Yd-TD-INT,26-41-251-0-2,21-39-274-0-2,5.0,2022,65
Sacked-Yards,6-51,4-24,5.0,2022,65
Net Pass Yards,200,250,5.0,2022,65
Total Yards,306,375,5.0,2022,65
Fumbles-Lost,4-0,2-0,5.0,2022,65
Turnovers,2,2,5.0,2022,65
Penalties-Yards,8-64,7-49,5.0,2022,65
Third Down Conv.,4-16,2-15,5.0,2022,65
Fourth Down Conv.,0-0,1-2,5.0,2022,65
Time of Possession,34:48,32:39,5.0,2022,65
