Unnamed: 0,PHI,ARI,week,year,game_id
First Downs,24,23,5.0,2022,77
Rush-Yds-TDs,33-139-2,26-124-1,5.0,2022,77
Cmp-Att-Yd-TD-INT,26-36-239-0-0,28-42-250-1-1,5.0,2022,77
Sacked-Yards,2-21,1-11,5.0,2022,77
Net Pass Yards,218,239,5.0,2022,77
Total Yards,357,363,5.0,2022,77
Fumbles-Lost,1-0,0-0,5.0,2022,77
Turnovers,0,1,5.0,2022,77
Penalties-Yards,3-30,2-15,5.0,2022,77
Third Down Conv.,6-13,8-14,5.0,2022,77
Fourth Down Conv.,1-1,1-1,5.0,2022,77
Time of Possession,34:39,25:21,5.0,2022,77
