Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Raiders to receive the opening kickoff.",,,5.0,2022,80
1.0,15:00,,,KAN 35,0.0,0.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,80
1.0,15:00,1.0,10.0,LVR 25,0.0,0.0,Josh Jacobs left tackle for 3 yards (tackle by Darius Harris),0.61,0.47,5.0,2022,80
1.0,14:22,2.0,7.0,LVR 28,0.0,0.0,"Josh Jacobs left end for 3 yards (tackle by George Karlaftis). Penalty on Jermaine Eluemunor: Chop Block, 14 yards (accepted) (no play)",0.47,-1.54,5.0,2022,80
1.0,13:54,2.0,21.0,LVR 14,0.0,0.0,Derek Carr pass incomplete deep right intended for Mack Hollins,-1.54,-2.55,5.0,2022,80
1.0,13:46,3.0,21.0,LVR 14,0.0,0.0,Derek Carr pass complete short left to Brandon Bolden for 12 yards (tackle by Rashad Fenton and Bryan Cook),-2.55,-1.63,5.0,2022,80
1.0,13:05,4.0,9.0,LVR 26,0.0,0.0,"AJ Cole punts 60 yards, returned by Skyy Moore for 7 yards (tackle by Mack Hollins and Clelin Ferrell)",-1.63,-0.34,5.0,2022,80
1.0,12:50,1.0,10.0,KAN 21,0.0,0.0,Clyde Edwards-Helaire up the middle for 2 yards (tackle by Chandler Jones),0.34,0.07,5.0,2022,80
1.0,12:14,2.0,8.0,KAN 23,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Noah Gray (defended by Trevon Moehrig),0.07,-0.63,5.0,2022,80
1.0,12:07,3.0,8.0,KAN 23,0.0,0.0,Patrick Mahomes sacked by Maxx Crosby for -13 yards,-0.63,-2.49,5.0,2022,80
1.0,11:31,4.0,21.0,KAN 10,0.0,0.0,"Tommy Townsend punts 60 yards, returned by Keelan Cole for 3 yards (tackle by Chris Lammons)",-2.49,-1.14,5.0,2022,80
1.0,11:19,1.0,10.0,LVR 33,0.0,0.0,Derek Carr sacked by and George Karlaftis for -7 yards and Frank Clark for -7 yards,1.14,-0.35,5.0,2022,80
1.0,10:39,2.0,17.0,LVR 26,0.0,0.0,Derek Carr pass complete short left to Josh Jacobs for 14 yards (tackle by Nick Bolton),-0.35,0.83,5.0,2022,80
1.0,9:56,3.0,3.0,LVR 40,0.0,0.0,"Josh Jacobs for no gain (tackle by Chris Jones). Penalty on Jermaine Eluemunor: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",0.83,-0.49,5.0,2022,80
1.0,9:26,3.0,13.0,LVR 30,0.0,0.0,Derek Carr pass complete short left to Brandon Bolden for 12 yards (tackle by Nick Bolton and L'Jarius Sneed),-0.49,-0.59,5.0,2022,80
1.0,8:36,4.0,1.0,LVR 42,6.0,0.0,"Derek Carr pass complete deep middle to Davante Adams for 58 yards, touchdown",-0.59,7.0,5.0,2022,80
1.0,8:27,,,KAN 15,7.0,0.0,Daniel Carlson kicks extra point good,0.0,0.0,5.0,2022,80
1.0,8:27,,,LVR 35,7.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,80
1.0,8:27,1.0,10.0,KAN 25,7.0,0.0,Patrick Mahomes pass complete short right to Justin Watson for 10 yards (tackle by Johnathan Abram),0.61,1.27,5.0,2022,80
1.0,7:51,1.0,10.0,KAN 35,7.0,0.0,Patrick Mahomes pass complete short left to Mecole Hardman for 7 yards (tackle by Amik Robertson and Nate Hobbs),1.27,1.67,5.0,2022,80
1.0,7:18,2.0,3.0,KAN 42,7.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 4 yards (tackle by Denzel Perryman),1.67,1.99,5.0,2022,80
1.0,6:45,1.0,10.0,KAN 46,7.0,0.0,Clyde Edwards-Helaire left guard for no gain (tackle by Maxx Crosby),1.99,1.45,5.0,2022,80
1.0,6:10,2.0,10.0,KAN 46,7.0,0.0,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 11 yards (tackle by Nate Hobbs),1.45,2.72,5.0,2022,80
1.0,5:41,,,,,,Timeout #1 by Kansas City Chiefs,,,5.0,2022,80
1.0,5:41,1.0,10.0,LVR 43,7.0,0.0,Patrick Mahomes scrambles right guard for 4 yards (tackle by Divine Deablo),2.72,2.72,5.0,2022,80
1.0,5:01,2.0,6.0,LVR 39,7.0,0.0,Patrick Mahomes scrambles right tackle for 16 yards (tackle by Nate Hobbs),2.72,4.04,5.0,2022,80
1.0,4:20,1.0,10.0,LVR 23,7.0,0.0,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster,4.04,3.5,5.0,2022,80
1.0,4:16,2.0,10.0,LVR 23,7.0,0.0,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster (defended by Rock Ya-Sin),3.5,2.81,5.0,2022,80
1.0,4:11,3.0,10.0,LVR 23,7.0,0.0,Patrick Mahomes pass incomplete short middle,2.81,1.93,5.0,2022,80
1.0,4:07,4.0,10.0,LVR 23,7.0,0.0,Matthew Wright 41 yard field goal no good,1.93,-1.0,5.0,2022,80
1.0,4:03,1.0,10.0,LVR 31,7.0,0.0,Josh Jacobs right guard for 5 yards (tackle by Nick Bolton),1.0,1.14,5.0,2022,80
1.0,3:29,2.0,5.0,LVR 36,7.0,0.0,Josh Jacobs left guard for 1 yard (tackle by Leo Chenal),1.14,0.56,5.0,2022,80
1.0,2:47,3.0,4.0,LVR 37,7.0,0.0,Derek Carr pass complete short middle to Hunter Renfrow for 5 yards (tackle by L'Jarius Sneed),0.56,1.73,5.0,2022,80
1.0,2:06,1.0,10.0,LVR 42,7.0,0.0,Josh Jacobs up the middle for 9 yards (tackle by Jaylen Watson and Juan Thornhill),1.73,2.4,5.0,2022,80
1.0,1:26,2.0,1.0,KAN 49,7.0,0.0,Josh Jacobs left guard for 1 yard (tackle by Khalen Saunders and L'Jarius Sneed),2.4,2.39,5.0,2022,80
1.0,0:56,1.0,10.0,KAN 48,7.0,0.0,Josh Jacobs left end for 1 yard (tackle by Khalen Saunders and Darius Harris),2.39,1.98,5.0,2022,80
1.0,0:12,2.0,9.0,KAN 47,7.0,0.0,Derek Carr pass complete short right to Jakob Johnson for 5 yards (tackle by Darius Harris),1.98,1.95,5.0,2022,80
