Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Jalen Hurts,PHI,0,0,0,0,0,5.0,2022,77
Miles Sanders,PHI,3,2,6,0,8,5.0,2022,77
Kenneth Gainwell,PHI,0,0,0,0,0,5.0,2022,77
Dallas Goedert,PHI,9,8,95,0,31,5.0,2022,77
DeVonta Smith,PHI,11,10,87,0,22,5.0,2022,77
A.J. Brown,PHI,7,3,32,0,15,5.0,2022,77
Quez Watkins,PHI,4,3,19,0,7,5.0,2022,77
Kyler Murray,ARI,0,0,0,0,0,5.0,2022,77
James Conner,ARI,1,1,8,0,8,5.0,2022,77
Eno Benjamin,ARI,4,3,28,0,16,5.0,2022,77
Darrel Williams,ARI,0,0,0,0,0,5.0,2022,77
Marquise Brown,ARI,10,8,78,1,25,5.0,2022,77
Zach Ertz,ARI,10,6,48,0,11,5.0,2022,77
A.J. Green,ARI,5,3,20,0,9,5.0,2022,77
Rondale Moore,ARI,8,7,68,0,28,5.0,2022,77
