Quarter,Time,Down,ToGo,Location,DAL,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Rams to receive the opening kickoff.",,,5.0,2022,78
1.0,15:00,,,DAL 35,0.0,0.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,78
1.0,15:00,1.0,10.0,LAR 25,0.0,0.0,Matthew Stafford pass complete short left to Cooper Kupp for 3 yards (tackle by Trevon Diggs),0.61,0.47,5.0,2022,78
1.0,14:21,2.0,7.0,LAR 28,0.0,0.0,Matthew Stafford pass complete short left to Cooper Kupp for 6 yards (tackle by Donovan Wilson and Leighton Vander Esch),0.47,0.56,5.0,2022,78
1.0,13:36,3.0,1.0,LAR 34,6.0,0.0,"Matthew Stafford sacked by Dorance Armstrong for -11 yards. Matthew Stafford fumbles (forced by Dorance Armstrong), recovered by DeMarcus Lawrence at LA-19 and returned for 19 yards, touchdown",0.56,-7.0,5.0,2022,78
1.0,13:27,,,LAR 2,6.0,0.0,"Two Point Attempt: Brett Maher rushes, conversion fails.",1.0,-1.0,5.0,2022,78
1.0,13:27,,,DAL 35,6.0,0.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,78
1.0,13:27,1.0,10.0,LAR 25,6.0,0.0,Cam Akers up the middle for 4 yards (tackle by Leighton Vander Esch),0.61,0.54,5.0,2022,78
1.0,12:48,2.0,7.0,LAR 29,6.0,0.0,Cam Akers up the middle for 9 yards (tackle by Donovan Wilson and Micah Parsons),0.54,1.47,5.0,2022,78
1.0,12:07,1.0,10.0,LAR 38,6.0,0.0,Brandon Powell up the middle for 1 yard (tackle by Donovan Wilson),1.47,1.06,5.0,2022,78
1.0,11:21,2.0,9.0,LAR 39,6.0,0.0,Matthew Stafford pass complete short middle to Allen Robinson for 6 yards (tackle by Jourdan Lewis),1.06,1.16,5.0,2022,78
1.0,10:37,3.0,3.0,LAR 45,6.0,0.0,Matthew Stafford pass complete short right to Tyler Higbee for 9 yards (tackle by Jayron Kearse),1.16,2.52,5.0,2022,78
1.0,9:56,1.0,10.0,DAL 46,6.0,0.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,2.52,1.98,5.0,2022,78
1.0,9:52,2.0,10.0,DAL 46,6.0,0.0,Matthew Stafford pass incomplete short right intended for Cooper Kupp,1.98,1.29,5.0,2022,78
1.0,9:49,3.0,10.0,DAL 46,6.0,0.0,Matthew Stafford pass incomplete deep left intended for Tutu Atwell,1.29,0.2,5.0,2022,78
