Unnamed: 0,DAL,LAR,week,year,game_id
First Downs,10,14,5.0,2022,78
Rush-Yds-TDs,34-163-1,15-38-0,5.0,2022,78
Cmp-Att-Yd-TD-INT,10-16-102-0-0,29-44-320-1-1,5.0,2022,78
Sacked-Yards,3-26,5-35,5.0,2022,78
Net Pass Yards,76,285,5.0,2022,78
Total Yards,239,323,5.0,2022,78
Fumbles-Lost,2-0,2-2,5.0,2022,78
Turnovers,0,3,5.0,2022,78
Penalties-Yards,5-42,3-25,5.0,2022,78
Third Down Conv.,5-15,6-17,5.0,2022,78
Fourth Down Conv.,0-0,1-1,5.0,2022,78
Time of Possession,29:30,30:30,5.0,2022,78
