Unnamed: 0,SFO,CAR,week,year,game_id
First Downs,22,15,5.0,2022,76
Rush-Yds-TDs,29-153-2,17-64-1,5.0,2022,76
Cmp-Att-Yd-TD-INT,18-30-253-2-0,25-42-275-0-1,5.0,2022,76
Sacked-Yards,2-9,6-31,5.0,2022,76
Net Pass Yards,244,244,5.0,2022,76
Total Yards,397,308,5.0,2022,76
Fumbles-Lost,2-1,2-0,5.0,2022,76
Turnovers,1,1,5.0,2022,76
Penalties-Yards,9-50,5-33,5.0,2022,76
Third Down Conv.,7-12,3-15,5.0,2022,76
Fourth Down Conv.,0-0,3-5,5.0,2022,76
Time of Possession,30:18,29:42,5.0,2022,76
