Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Commanders to receive the opening kickoff.",,,16.0,2022,234
1.0,15:00,,,SFO 35,0.0,0.0,"Robbie Gould kicks off 66 yards, returned by Antonio Gibson for 18 yards (tackle by George Odum and Jordan Willis)",0.0,-0.06,16.0,2022,234
1.0,14:56,1.0,10.0,WAS 17,0.0,0.0,Brian Robinson left tackle for -2 yards (tackle by Tashaun Gipson),-0.06,-0.85,16.0,2022,234
1.0,14:23,2.0,12.0,WAS 15,0.0,0.0,Brian Robinson left guard for 6 yards (tackle by Javon Kinlaw and Talanoa Hufanga),-0.85,-0.75,16.0,2022,234
1.0,13:43,3.0,6.0,WAS 21,0.0,0.0,Taylor Heinicke pass incomplete deep right intended for Jahan Dotson,-0.75,-1.96,16.0,2022,234
1.0,13:34,4.0,6.0,WAS 21,0.0,0.0,"Penalty on WAS: Delay of Game, 5 yards (accepted) (no play)",-1.96,-2.39,16.0,2022,234
1.0,13:34,4.0,11.0,WAS 16,0.0,0.0,"Tress Way punts 62 yards, returned by Ray-Ray McCloud for 13 yards (tackle by Jonathan Williams)",-2.39,-1.27,16.0,2022,234
1.0,13:24,1.0,10.0,SFO 35,0.0,0.0,Brock Purdy pass complete short middle to Brandon Aiyuk for 9 yards (tackle by Benjamin St-Juste),1.27,1.94,16.0,2022,234
1.0,12:47,2.0,1.0,SFO 44,0.0,0.0,Christian McCaffrey up the middle for 4 yards (tackle by David Mayo and Jonathan Allen),1.94,2.13,16.0,2022,234
1.0,12:10,1.0,10.0,SFO 48,0.0,0.0,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,2.13,1.58,16.0,2022,234
1.0,12:06,2.0,10.0,SFO 48,0.0,0.0,Christian McCaffrey left tackle for 3 yards (tackle by Danny Johnson and Jeremy Reaves),1.58,1.29,16.0,2022,234
1.0,11:20,3.0,7.0,WAS 49,0.0,0.0,Brock Purdy pass complete short middle to George Kittle for 25 yards (tackle by Rachad Wildgoose),1.29,3.97,16.0,2022,234
