Quarter,Time,Down,ToGo,Location,ATL,BAL,Detail,EPB,EPA,week,year,game_id
2.0,12:51,3.0,4.0,ATL 9,0.0,3.0,Tyler Huntley pass incomplete short right intended for J.K. Dobbins,4.22,2.9,16.0,2022,226
2.0,12:46,4.0,4.0,ATL 9,0.0,6.0,Justin Tucker 27 yard field goal good,2.9,3.0,16.0,2022,226
2.0,12:42,,,BAL 35,0.0,6.0,"Justin Tucker kicks off 48 yards, returned by Keith Smith for 16 yards (tackle by Malik Harrison and Del'Shawn Phillips)",0.0,1.14,16.0,2022,226
2.0,12:38,1.0,10.0,ATL 33,0.0,6.0,Tyler Allgeier up the middle for 3 yards (tackle by Travis Jones),1.14,1.0,16.0,2022,226
2.0,12:04,2.0,7.0,ATL 36,0.0,6.0,Desmond Ridder pass complete short right to Olamide Zaccheaus for 10 yards (tackle by Brandon Stephens),1.0,1.99,16.0,2022,226
2.0,11:21,1.0,10.0,ATL 46,0.0,6.0,Tyler Allgeier right guard for 3 yards (tackle by Chuck Clark and Broderick Washington),1.99,1.86,16.0,2022,226
2.0,10:46,2.0,7.0,ATL 49,0.0,6.0,Tyler Allgeier right tackle for no gain (tackle by Roquan Smith),1.86,1.16,16.0,2022,226
2.0,10:02,3.0,7.0,ATL 49,0.0,6.0,Desmond Ridder pass complete short right to Anthony Firkser for 5 yards (tackle by Brandon Stephens and Patrick Queen),1.16,0.2,16.0,2022,226
2.0,9:22,4.0,2.0,BAL 46,0.0,6.0,"Desmond Ridder pass complete short middle to Drake London for 20 yards. Drake London fumbles (forced by Marlon Humphrey), recovered by Patrick Queen at BAL-25 and returned for 5 yards (tackle by Tyler Allgeier)",0.2,-0.94,16.0,2022,226
2.0,9:09,1.0,10.0,BAL 30,0.0,6.0,Gus Edwards left guard for 11 yards (tackle by Jaylinn Hawkins and Adetokunbo Ogundeji),0.94,1.66,16.0,2022,226
2.0,8:38,1.0,10.0,BAL 41,0.0,6.0,Gus Edwards left end for 5 yards (tackle by Abdullah Anderson),1.66,1.8,16.0,2022,226
2.0,7:57,2.0,5.0,BAL 46,0.0,6.0,Tyler Huntley right end for 8 yards (tackle by Richie Grant),1.8,2.52,16.0,2022,226
2.0,7:22,1.0,10.0,ATL 46,0.0,6.0,J.K. Dobbins left end for 14 yards (tackle by Richie Grant),2.52,3.45,16.0,2022,226
2.0,6:47,1.0,10.0,ATL 32,0.0,6.0,J.K. Dobbins right end for 5 yards (tackle by Richie Grant and Rashaan Evans),3.45,3.58,16.0,2022,226
2.0,6:05,2.0,5.0,ATL 27,0.0,6.0,J.K. Dobbins left guard for 2 yards (tackle by Adetokunbo Ogundeji),3.58,3.14,16.0,2022,226
2.0,5:17,,,,,,Timeout #1 by Baltimore Ravens,,,16.0,2022,226
2.0,5:17,3.0,3.0,ATL 25,0.0,6.0,Tyler Huntley right guard for 6 yards (tackle by Jaylinn Hawkins and Abdullah Anderson),3.14,4.31,16.0,2022,226
2.0,4:44,1.0,10.0,ATL 19,0.0,6.0,J.K. Dobbins left guard for 5 yards (tackle by Abdullah Anderson),4.31,4.53,16.0,2022,226
2.0,4:00,2.0,5.0,ATL 14,0.0,6.0,J.K. Dobbins left end for 2 yards (tackle by Cornell Armstrong and Abdullah Anderson),4.53,4.19,16.0,2022,226
2.0,3:21,3.0,3.0,ATL 12,0.0,6.0,Tyler Huntley right end for 4 yards (tackle by Jaylinn Hawkins),4.19,5.37,16.0,2022,226
2.0,2:40,1.0,8.0,ATL 8,0.0,6.0,J.K. Dobbins right tackle for 2 yards (tackle by Lorenzo Carter and Troy Andersen),5.37,4.95,16.0,2022,226
2.0,2:33,,,,,,Timeout #1 by Atlanta Falcons,,,16.0,2022,226
2.0,2:33,2.0,6.0,ATL 6,0.0,6.0,Tyler Huntley pass incomplete short right intended for Isaiah Likely,4.95,4.04,16.0,2022,226
2.0,2:27,3.0,6.0,ATL 6,0.0,12.0,"Tyler Huntley pass complete short right to Demarcus Robinson for 6 yards, touchdown Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",4.04,7.0,16.0,2022,226
2.0,2:23,,,ATL 2,0.0,14.0,"Two Point Attempt: Tyler Huntley rushes, conversion succeeds.",1.0,1.0,16.0,2022,226
2.0,2:23,,,BAL 35,0.0,14.0,"Justin Tucker kicks off 49 yards, returned by Cordarrelle Patterson for 16 yards (tackle by James Proche and Malik Harrison)",0.0,1.07,16.0,2022,226
2.0,2:19,1.0,10.0,ATL 32,0.0,14.0,Desmond Ridder pass complete short left to Cordarrelle Patterson for 14 yards (tackle by Roquan Smith),1.07,1.99,16.0,2022,226
2.0,2:00,1.0,10.0,ATL 46,0.0,14.0,"Cordarrelle Patterson right end for no gain (tackle by Roquan Smith). Penalty on Kaleb McGary: Offensive Holding, 10 yards (accepted) (no play)",1.99,1.33,16.0,2022,226
2.0,1:53,1.0,20.0,ATL 36,0.0,14.0,Desmond Ridder pass complete short right to Drake London for 9 yards (tackle by Roquan Smith and Brandon Stephens),1.33,1.32,16.0,2022,226
2.0,1:27,2.0,11.0,ATL 45,0.0,14.0,Desmond Ridder pass complete short left to Tyler Allgeier for 26 yards (tackle by Marcus Williams),1.32,3.64,16.0,2022,226
2.0,1:16,1.0,10.0,BAL 29,0.0,14.0,Desmond Ridder pass incomplete short left,3.64,3.1,16.0,2022,226
2.0,1:12,2.0,10.0,BAL 29,0.0,14.0,Avery Williams left end for 1 yard (tackle by Broderick Washington),3.1,2.54,16.0,2022,226
2.0,1:08,,,,,,Timeout #2 by Baltimore Ravens,,,16.0,2022,226
2.0,1:08,3.0,9.0,BAL 28,0.0,14.0,"Desmond Ridder pass incomplete intended for Drake London Replay Assistant challenged the pass completion ruling, and the original play was overturned. Desmond Ridder pass complete short left to Drake London for 15 yards (tackle by Marlon Humphrey)",2.54,4.71,16.0,2022,226
2.0,0:54,1.0,10.0,BAL 13,0.0,14.0,Tyler Allgeier up the middle for 5 yards (tackle by Justin Madubuike and Roquan Smith),4.71,4.96,16.0,2022,226
2.0,0:46,,,,,,Timeout #2 by Atlanta Falcons,,,16.0,2022,226
2.0,0:46,2.0,5.0,BAL 8,0.0,14.0,Desmond Ridder pass incomplete short left intended for Drake London,4.96,4.1,16.0,2022,226
2.0,0:43,3.0,5.0,BAL 8,0.0,14.0,Desmond Ridder pass complete short middle to Avery Williams for 7 yards (tackle by Patrick Queen and Roquan Smith),4.1,6.97,16.0,2022,226
2.0,0:25,1.0,1.0,BAL 1,0.0,14.0,"Desmond Ridder pass incomplete short right. Penalty on Desmond Ridder: Intentional Grounding, 13 yards (accepted)",6.97,3.58,16.0,2022,226
2.0,0:05,,,,,,Timeout #3 by Atlanta Falcons,,,16.0,2022,226
2.0,0:05,2.0,14.0,BAL 14,3.0,14.0,Younghoe Koo 32 yard field goal good,3.58,3.0,16.0,2022,226
3.0,15:00,,,BAL 35,3.0,14.0,"Justin Tucker kicks off 56 yards, returned by Avery Williams for 12 yards (tackle by Andy Isabella)",0.0,0.34,16.0,2022,226
3.0,14:56,1.0,10.0,ATL 21,3.0,14.0,Desmond Ridder pass complete short middle to Drake London for 10 yards (tackle by Kyle Hamilton and Roquan Smith),0.34,1.0,16.0,2022,226
3.0,14:39,1.0,10.0,ATL 31,3.0,14.0,Cordarrelle Patterson left tackle for 4 yards (tackle by Broderick Washington),1.0,1.0,16.0,2022,226
