Quarter,Time,Tm,Detail,JAX,NYJ,week,year,game_id
1.0,11:37,Jets,Greg Zuerlein 37 yard field goal,0,3,16.0,2022,225
,7:15,Jaguars,Riley Patterson 32 yard field goal,3,3,16.0,2022,225
2.0,11:26,Jaguars,Trevor Lawrence 1 yard rush (Riley Patterson kick),10,3,16.0,2022,225
,2:55,Jaguars,Riley Patterson 45 yard field goal,13,3,16.0,2022,225
3.0,7:06,Jaguars,Riley Patterson 41 yard field goal,16,3,16.0,2022,225
4.0,3:46,Jaguars,Riley Patterson 37 yard field goal,19,3,16.0,2022,225
