Quarter,Time,Tm,Detail,TAM,ARI,week,year,game_id
1,13:23,Buccaneers,Ryan Succop 38 yard field goal,3,0,16.0,2022,239
,0:32,Cardinals,Matt Prater 56 yard field goal,3,3,16.0,2022,239
2,8:14,Buccaneers,Ryan Succop 35 yard field goal,6,3,16.0,2022,239
,0:08,Cardinals,Matt Prater 53 yard field goal,6,6,16.0,2022,239
4,14:07,Cardinals,Matt Prater 39 yard field goal,6,9,16.0,2022,239
,10:47,Cardinals,James Conner 22 yard rush (Matt Prater kick),6,16,16.0,2022,239
,8:03,Buccaneers,Rachaad White 3 yard pass from Tom Brady (Ryan Succop kick),13,16,16.0,2022,239
,2:27,Buccaneers,Ryan Succop 42 yard field goal,16,16,16.0,2022,239
OT,3:41,Buccaneers,Ryan Succop 40 yard field goal,19,16,16.0,2022,239
