Unnamed: 0,CIN,NWE,week,year,game_id
First Downs,28,15,16.0,2022,229
Rush-Yds-TDs,24-73-0,16-61-0,16.0,2022,229
Cmp-Att-Yd-TD-INT,40-52-375-3-2,21-33-240-2-0,16.0,2022,229
Sacked-Yards,2-6,4-16,16.0,2022,229
Net Pass Yards,369,224,16.0,2022,229
Total Yards,442,285,16.0,2022,229
Fumbles-Lost,1-1,4-1,16.0,2022,229
Turnovers,3,1,16.0,2022,229
Penalties-Yards,8-62,10-82,16.0,2022,229
Third Down Conv.,8-16,6-13,16.0,2022,229
Fourth Down Conv.,1-1,0-1,16.0,2022,229
Time of Possession,36:48,23:12,16.0,2022,229
