Unnamed: 0,DET,CAR,week,year,game_id
First Downs,22,30,16.0,2022,228
Rush-Yds-TDs,17-45-0,43-320-3,16.0,2022,228
Cmp-Att-Yd-TD-INT,25-42-355-3-0,15-22-250-1-0,16.0,2022,228
Sacked-Yards,2-19,0-0,16.0,2022,228
Net Pass Yards,336,250,16.0,2022,228
Total Yards,381,570,16.0,2022,228
Fumbles-Lost,1-1,1-0,16.0,2022,228
Turnovers,1,0,16.0,2022,228
Penalties-Yards,4-30,10-74,16.0,2022,228
Third Down Conv.,4-12,3-9,16.0,2022,228
Fourth Down Conv.,2-3,1-1,16.0,2022,228
Time of Possession,24:47,35:13,16.0,2022,228
