Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Josh Allen,BUF,0,0,0,0,0,16.0,2022,227
Devin Singletary,BUF,3,2,19,0,10,16.0,2022,227
James Cook,BUF,2,1,9,0,9,16.0,2022,227
Isaiah McKenzie,BUF,2,0,0,0,0,16.0,2022,227
Nyheim Hines,BUF,2,1,9,0,9,16.0,2022,227
Gabriel Davis,BUF,6,3,45,1,19,16.0,2022,227
Dawson Knox,BUF,5,3,38,1,24,16.0,2022,227
Stefon Diggs,BUF,2,2,26,0,15,16.0,2022,227
Reggie Gilliam,BUF,1,1,12,0,12,16.0,2022,227
Cole Beasley,BUF,1,1,9,0,9,16.0,2022,227
Khalil Shakir,BUF,1,1,5,0,5,16.0,2022,227
Justin Fields,CHI,0,0,0,0,0,16.0,2022,227
Nathan Peterman,CHI,0,0,0,0,0,16.0,2022,227
David Montgomery,CHI,4,4,22,0,10,16.0,2022,227
Khalil Herbert,CHI,3,2,-4,0,-2,16.0,2022,227
Velus Jones Jr.,CHI,4,2,52,0,44,16.0,2022,227
Byron Pringle,CHI,2,2,34,0,20,16.0,2022,227
Cole Kmet,CHI,6,5,27,0,7,16.0,2022,227
Dante Pettis,CHI,5,2,11,1,6,16.0,2022,227
Ryan Griffin,CHI,1,1,2,0,2,16.0,2022,227
