Quarter,Time,Down,ToGo,Location,DET,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Panthers to receive the opening kickoff.",,,16.0,2022,228
1.0,15:00,,,DET 35,0.0,0.0,"Michael Badgley kicks off 60 yards, returned by Raheem Blackshear for 17 yards (tackle by C.J. Moore)",0.0,0.41,16.0,2022,228
1.0,14:55,1.0,10.0,CAR 22,0.0,0.0,Chuba Hubbard left end for 30 yards (tackle by Ifeatu Melifonwu),0.41,2.39,16.0,2022,228
1.0,14:15,1.0,10.0,DET 48,0.0,0.0,"Penalty on Ian Thomas: False Start, 5 yards (accepted) (no play)",2.39,2.06,16.0,2022,228
1.0,13:51,1.0,15.0,CAR 47,0.0,0.0,Chuba Hubbard up the middle for 35 yards (tackle by Kerby Joseph),2.06,4.37,16.0,2022,228
1.0,13:22,1.0,10.0,DET 18,0.0,0.0,Chuba Hubbard up the middle for 5 yards (tackle by Isaiah Buggs),4.37,4.61,16.0,2022,228
1.0,12:45,2.0,5.0,DET 13,0.0,0.0,D'Onta Foreman right tackle for 6 yards (tackle by John Cominsky and Jeff Okudah),4.61,5.6,16.0,2022,228
1.0,12:02,1.0,7.0,DET 7,0.0,6.0,"Raheem Blackshear right end for 7 yards, touchdown",5.6,7.0,16.0,2022,228
1.0,11:57,,,DET 15,0.0,7.0,Eddy Pineiro kicks extra point good,0.0,0.0,16.0,2022,228
1.0,11:57,,,CAR 35,0.0,7.0,"Eddy Pineiro kicks off 62 yards, out of bounds",0.0,1.6,16.0,2022,228
1.0,11:57,1.0,10.0,DET 40,0.0,7.0,Jared Goff pass incomplete short right,1.6,1.05,16.0,2022,228
1.0,11:54,2.0,10.0,DET 40,0.0,7.0,Jared Goff pass incomplete short right intended for DJ Chark (defended by Derrick Brown),1.05,0.37,16.0,2022,228
1.0,11:46,3.0,10.0,DET 40,0.0,7.0,Jared Goff pass complete deep left to DJ Chark for 39 yards (tackle by Jeremy Chinn),0.37,4.17,16.0,2022,228
1.0,11:09,1.0,10.0,CAR 21,0.0,7.0,Jared Goff pass complete short left to DJ Chark for 4 yards (tackle by Shaq Thompson),4.17,4.2,16.0,2022,228
1.0,10:20,2.0,6.0,CAR 17,0.0,7.0,Amon-Ra St. Brown left end for no gain (tackle by Derrick Brown and Yetur Gross-Matos),4.2,3.46,16.0,2022,228
1.0,9:59,3.0,6.0,CAR 17,0.0,7.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 13 yards (tackle by Myles Hartsfield),3.46,6.28,16.0,2022,228
1.0,9:18,1.0,4.0,CAR 4,0.0,7.0,Jamaal Williams up the middle for 1 yard (tackle by Damien Wilson and Yetur Gross-Matos),6.28,5.53,16.0,2022,228
