Unnamed: 0,GNB,MIA,week,year,game_id
First Downs,17,15,16.0,2022,237
Rush-Yds-TDs,25-79-1,18-82-1,16.0,2022,237
Cmp-Att-Yd-TD-INT,24-38-238-1-1,16-25-310-1-3,16.0,2022,237
Sacked-Yards,2-16,2-16,16.0,2022,237
Net Pass Yards,222,294,16.0,2022,237
Total Yards,301,376,16.0,2022,237
Fumbles-Lost,1-0,3-1,16.0,2022,237
Turnovers,1,4,16.0,2022,237
Penalties-Yards,5-40,8-62,16.0,2022,237
Third Down Conv.,2-14,2-7,16.0,2022,237
Fourth Down Conv.,3-5,1-1,16.0,2022,237
Time of Possession,32:00,28:00,16.0,2022,237
