Quarter,Time,Down,ToGo,Location,DEN,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Rams to receive the opening kickoff.",,,16.0,2022,238
1.0,15:00,,,DEN 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,238
1.0,15:00,1.0,10.0,LAR 25,0.0,0.0,Cam Akers up the middle for 4 yards (tackle by Alex Singleton and Jonathon Cooper),0.61,0.6,16.0,2022,238
1.0,14:37,2.0,6.0,LAR 29,0.0,0.0,Baker Mayfield pass complete short right to Tutu Atwell for 7 yards (tackle by Patrick Surtain),0.6,1.33,16.0,2022,238
1.0,14:01,1.0,10.0,LAR 36,0.0,0.0,Cam Akers left end for 8 yards (tackle by Alex Singleton),1.33,1.87,16.0,2022,238
1.0,13:21,2.0,2.0,LAR 44,0.0,0.0,Cam Akers right tackle for 16 yards (tackle by Alex Singleton),1.87,2.92,16.0,2022,238
1.0,12:36,1.0,10.0,DEN 40,0.0,0.0,Cam Akers up the middle for 5 yards (tackle by Wyatt Ray),2.92,3.05,16.0,2022,238
1.0,11:59,2.0,5.0,DEN 35,0.0,0.0,Baker Mayfield pass complete short right to Tyler Higbee for 4 yards (tackle by Justin Simmons),3.05,2.87,16.0,2022,238
1.0,11:15,3.0,1.0,DEN 31,0.0,0.0,Cam Akers left guard for 4 yards (tackle by Eyioma Uwazurike),2.87,3.78,16.0,2022,238
1.0,10:32,1.0,10.0,DEN 27,0.0,0.0,"Penalty on Oday Aboushi: False Start, 5 yards (accepted) (no play)",3.78,3.45,16.0,2022,238
1.0,10:16,1.0,15.0,DEN 32,0.0,0.0,Brandon Powell left end for no gain (tackle by Baron Browning),3.45,2.56,16.0,2022,238
1.0,9:35,2.0,15.0,DEN 32,0.0,0.0,"Baker Mayfield aborted snap, recovered by Baker Mayfield at DEN-45",2.56,0.17,16.0,2022,238
1.0,9:10,3.0,28.0,DEN 45,0.0,0.0,Baker Mayfield pass complete short right to Tyler Higbee for 8 yards (tackle by Patrick Surtain and K'Waun Williams),0.17,0.79,16.0,2022,238
1.0,8:31,4.0,20.0,DEN 37,0.0,3.0,Matt Gay 55 yard field goal good,0.79,3.0,16.0,2022,238
1.0,8:26,,,LAR 35,0.0,3.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,238
1.0,8:26,1.0,10.0,DEN 25,0.0,3.0,Russell Wilson pass incomplete deep left intended for Courtland Sutton (defended by Jalen Ramsey),0.61,0.06,16.0,2022,238
1.0,8:20,2.0,10.0,DEN 25,0.0,3.0,Latavius Murray left end for 1 yard (tackle by Michael Hoecht),0.06,-0.49,16.0,2022,238
1.0,7:47,3.0,9.0,DEN 26,0.0,3.0,Russell Wilson pass deep right intended for Courtland Sutton is intercepted by Cobie Durant at DEN-49 and returned for 15 yards (tackle by Eric Saubert),-0.49,-3.31,16.0,2022,238
1.0,7:35,1.0,10.0,DEN 34,0.0,3.0,Cam Akers right guard for 3 yards (tackle by Alex Singleton),3.31,3.18,16.0,2022,238
1.0,7:01,2.0,7.0,DEN 31,0.0,3.0,Baker Mayfield pass complete deep right to Brycen Hopkins for 22 yards (tackle by Justin Simmons),3.18,5.14,16.0,2022,238
1.0,6:25,1.0,9.0,DEN 9,0.0,9.0,"Baker Mayfield pass complete short right to Tyler Higbee for 9 yards, touchdown",5.14,7.0,16.0,2022,238
1.0,6:19,,,DEN 15,0.0,10.0,Matt Gay kicks extra point good,0.0,0.0,16.0,2022,238
1.0,6:19,,,LAR 35,0.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,238
1.0,6:19,1.0,10.0,DEN 25,0.0,10.0,Latavius Murray up the middle for 4 yards (tackle by Greg Gaines and Bobby Wagner),0.61,0.6,16.0,2022,238
1.0,5:39,2.0,6.0,DEN 29,0.0,10.0,"Latavius Murray up the middle for 3 yards (tackle by Earnest Brown). Penalty on Graham Glasgow: Offensive Holding, 10 yards (accepted) (no play)",0.6,-0.81,16.0,2022,238
1.0,5:20,2.0,16.0,DEN 19,0.0,10.0,Russell Wilson pass short middle intended for Greg Dulcich is intercepted by Bobby Wagner at DEN-24 and returned for 13 yards (tackle by Chase Edmonds),-0.81,-4.84,16.0,2022,238
1.0,5:12,1.0,10.0,DEN 11,0.0,10.0,Baker Mayfield pass complete short left to Tyler Higbee for 9 yards (tackle by K'Waun Williams),4.84,5.66,16.0,2022,238
1.0,4:49,2.0,2.0,DEN 3,0.0,16.0,"Cam Akers up the middle for 2 yards, touchdown",5.66,7.0,16.0,2022,238
1.0,4:45,,,DEN 15,0.0,17.0,Matt Gay kicks extra point good,0.0,0.0,16.0,2022,238
1.0,4:45,,,LAR 35,0.0,17.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,238
1.0,4:45,1.0,10.0,DEN 25,0.0,17.0,Latavius Murray right tackle for 3 yards (tackle by Jonah Williams),0.61,0.47,16.0,2022,238
1.0,4:07,2.0,7.0,DEN 28,0.0,17.0,Russell Wilson pass complete deep middle to Courtland Sutton for 20 yards (tackle by Jalen Ramsey),0.47,2.13,16.0,2022,238
1.0,3:27,1.0,10.0,DEN 48,0.0,17.0,Russell Wilson sacked by Larrell Murchison for -9 yards,2.13,0.37,16.0,2022,238
