Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Chiefs,14.0,3.1,3.43,-0.18,0.0,11.64,14.7,-4.04,3.7,-2.23,-4.04,3.52,2.29,-2.46,-1.54,16.0,2022,232
Seahawks,-14.0,-11.64,-14.7,4.04,-3.7,-3.1,-3.43,0.18,0.0,2.23,-3.52,4.04,2.46,-2.29,1.54,16.0,2022,232
