Unnamed: 0,LAC,IND,week,year,game_id
First Downs,17,10,16.0,2022,240
Rush-Yds-TDs,32-101-2,14-69-0,16.0,2022,240
Cmp-Att-Yd-TD-INT,24-31-235-0-1,17-29-143-0-3,16.0,2022,240
Sacked-Yards,4-22,7-39,16.0,2022,240
Net Pass Yards,213,104,16.0,2022,240
Total Yards,314,173,16.0,2022,240
Fumbles-Lost,2-1,0-0,16.0,2022,240
Turnovers,2,3,16.0,2022,240
Penalties-Yards,6-60,2-11,16.0,2022,240
Third Down Conv.,8-18,0-10,16.0,2022,240
Fourth Down Conv.,1-1,1-4,16.0,2022,240
Time of Possession,33:54,26:06,16.0,2022,240
