Unnamed: 0,NOR,CLE,week,year,game_id
First Downs,14,15,16.0,2022,230
Rush-Yds-TDs,39-152-2,34-124-1,16.0,2022,230
Cmp-Att-Yd-TD-INT,8-15-92-0-1,15-31-135-0-1,16.0,2022,230
Sacked-Yards,0-0,2-10,16.0,2022,230
Net Pass Yards,92,125,16.0,2022,230
Total Yards,244,249,16.0,2022,230
Fumbles-Lost,2-0,0-0,16.0,2022,230
Turnovers,1,1,16.0,2022,230
Penalties-Yards,2-15,4-45,16.0,2022,230
Third Down Conv.,7-15,7-16,16.0,2022,230
Fourth Down Conv.,0-0,1-3,16.0,2022,230
Time of Possession,29:14,30:46,16.0,2022,230
