Quarter,Time,Down,ToGo,Location,NYG,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Vikings to receive the opening kickoff.",,,16.0,2022,233
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,233
1.0,15:00,1.0,10.0,MIN 25,0.0,0.0,Kirk Cousins pass complete short middle to Adam Thielen for 6 yards (tackle by Dexter Lawrence),0.61,0.87,16.0,2022,233
1.0,14:20,2.0,4.0,MIN 31,0.0,0.0,Dalvin Cook left tackle for 18 yards (tackle by Nick McCloud and Julian Love),0.87,2.19,16.0,2022,233
1.0,13:43,1.0,10.0,MIN 49,0.0,0.0,Dalvin Cook up the middle for -1 yards (tackle by Dexter Lawrence),2.19,1.51,16.0,2022,233
1.0,13:07,2.0,11.0,MIN 48,0.0,0.0,Kirk Cousins pass incomplete short left intended for Adam Thielen,1.51,0.83,16.0,2022,233
1.0,13:03,3.0,11.0,MIN 48,0.0,0.0,Kirk Cousins pass incomplete deep left intended for T.J. Hockenson,0.83,-0.19,16.0,2022,233
1.0,12:56,4.0,11.0,MIN 48,0.0,0.0,Ryan Wright punts 28 yards out of bounds,-0.19,-0.54,16.0,2022,233
1.0,12:51,1.0,10.0,NYG 24,0.0,0.0,Daniel Jones pass complete short middle to Saquon Barkley for 3 yards (tackle by Jordan Hicks),0.54,0.4,16.0,2022,233
1.0,12:17,2.0,7.0,NYG 27,0.0,0.0,Saquon Barkley up the middle for 4 yards (tackle by Eric Kendricks and Jordan Hicks),0.4,0.23,16.0,2022,233
1.0,11:53,3.0,3.0,NYG 31,0.0,0.0,Daniel Jones pass complete short left to Darius Slayton for 17 yards (tackle by Duke Shelley),0.23,2.13,16.0,2022,233
1.0,11:20,1.0,10.0,NYG 48,0.0,0.0,Daniel Jones pass incomplete deep left intended for Darius Slayton,2.13,1.58,16.0,2022,233
1.0,11:12,2.0,10.0,NYG 48,0.0,0.0,Daniel Jones pass incomplete short right intended for Saquon Barkley,1.58,0.89,16.0,2022,233
1.0,11:06,3.0,10.0,NYG 48,0.0,0.0,Daniel Jones pass incomplete short right intended for Isaiah Hodgins (defended by Eric Kendricks),0.89,-0.19,16.0,2022,233
1.0,11:03,4.0,10.0,NYG 48,0.0,0.0,"Jamie Gillan punts 40 yards, fair catch by Jalen Reagor at MIN-12",-0.19,0.35,16.0,2022,233
1.0,10:57,1.0,10.0,MIN 12,0.0,0.0,Dalvin Cook right tackle for 3 yards (tackle by Kayvon Thibodeaux and Leonard Williams),-0.35,-0.5,16.0,2022,233
1.0,10:23,2.0,7.0,MIN 15,0.0,0.0,Kirk Cousins pass complete short right to T.J. Hockenson for 8 yards (tackle by Cordale Flott),-0.5,0.48,16.0,2022,233
