Unnamed: 0,SEA,KAN,week,year,game_id
First Downs,19,14,16.0,2022,232
Rush-Yds-TDs,31-133-0,22-77-1,16.0,2022,232
Cmp-Att-Yd-TD-INT,25-40-215-1-1,16-28-224-2-0,16.0,2022,232
Sacked-Yards,2-15,1-4,16.0,2022,232
Net Pass Yards,200,220,16.0,2022,232
Total Yards,333,297,16.0,2022,232
Fumbles-Lost,0-0,0-0,16.0,2022,232
Turnovers,1,0,16.0,2022,232
Penalties-Yards,6-35,5-39,16.0,2022,232
Third Down Conv.,2-14,3-11,16.0,2022,232
Fourth Down Conv.,3-6,0-1,16.0,2022,232
Time of Possession,35:02,24:58,16.0,2022,232
