Unnamed: 0,TAM,ARI,week,year,game_id
First Downs,21,16,16.0,2022,239
Rush-Yds-TDs,30-115-0,27-121-1,16.0,2022,239
Cmp-Att-Yd-TD-INT,32-48-281-1-2,25-46-221-0-1,16.0,2022,239
Sacked-Yards,0-0,1-17,16.0,2022,239
Net Pass Yards,281,204,16.0,2022,239
Total Yards,396,325,16.0,2022,239
Fumbles-Lost,0-0,2-2,16.0,2022,239
Turnovers,2,3,16.0,2022,239
Penalties-Yards,5-30,6-74,16.0,2022,239
Third Down Conv.,6-17,5-19,16.0,2022,239
Fourth Down Conv.,1-2,1-1,16.0,2022,239
Time of Possession,36:57,29:22,16.0,2022,239
