Unnamed: 0,LVR,PIT,week,year,game_id
First Downs,13,19,16.0,2022,236
Rush-Yds-TDs,19-58-0,27-106-0,16.0,2022,236
Cmp-Att-Yd-TD-INT,16-30-174-1-3,26-39-244-1-1,16.0,2022,236
Sacked-Yards,3-31,0-0,16.0,2022,236
Net Pass Yards,143,244,16.0,2022,236
Total Yards,201,350,16.0,2022,236
Fumbles-Lost,0-0,0-0,16.0,2022,236
Turnovers,3,1,16.0,2022,236
Penalties-Yards,2-20,3-35,16.0,2022,236
Third Down Conv.,6-12,5-14,16.0,2022,236
Fourth Down Conv.,0-0,2-2,16.0,2022,236
Time of Possession,27:21,32:39,16.0,2022,236
