Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Jamaal Williams,DET,7,11,0,1.0,4,0.6,7,1.0,0,,16.0,2022,228
D'Andre Swift,DET,4,12,0,0.0,8,2.0,4,1.0,0,,16.0,2022,228
Jared Goff,DET,3,15,0,1.0,15,5.0,0,0.0,0,,16.0,2022,228
Justin Jackson,DET,1,-1,0,,-1,-1.0,0,0.0,0,,16.0,2022,228
Kalif Raymond,DET,1,8,0,1.0,4,4.0,4,4.0,0,,16.0,2022,228
Amon-Ra St. Brown,DET,1,0,0,0.0,0,0.0,0,0.0,0,,16.0,2022,228
D'Onta Foreman,CAR,21,165,1,8.0,98,4.7,67,3.2,0,,16.0,2022,228
Chuba Hubbard,CAR,12,125,0,3.0,88,7.3,37,3.1,0,,16.0,2022,228
Sam Darnold,CAR,6,19,1,3.0,11,1.8,8,1.3,0,,16.0,2022,228
Raheem Blackshear,CAR,3,3,1,1.0,3,1.0,0,0.0,0,,16.0,2022,228
D.J. Moore,CAR,1,8,0,1.0,5,5.0,3,3.0,0,,16.0,2022,228
