Quarter,Time,Tm,Detail,DET,CAR,week,year,game_id
1.0,11:57,Panthers,Raheem Blackshear 7 yard rush (Eddy Piñeiro kick),0,7,16.0,2022,228
,8:38,Lions,Shane Zylstra 3 yard pass from Jared Goff (Michael Badgley kick),7,7,16.0,2022,228
2.0,9:35,Panthers,Sam Darnold 3 yard rush (Eddy Piñeiro kick),7,14,16.0,2022,228
,2:08,Panthers,D'Onta Foreman 4 yard rush (Eddy Piñeiro kick),7,21,16.0,2022,228
,0:00,Panthers,Eddy Piñeiro 37 yard field goal,7,24,16.0,2022,228
3.0,9:12,Panthers,D.J. Moore 5 yard pass from Sam Darnold (Eddy Piñeiro kick),7,31,16.0,2022,228
,3:09,Lions,Shane Zylstra 7 yard pass from Jared Goff (run failed),13,31,16.0,2022,228
4.0,13:13,Panthers,Eddy Piñeiro 40 yard field goal,13,34,16.0,2022,228
,3:46,Lions,Shane Zylstra 1 yard pass from Jared Goff (Michael Badgley kick),20,34,16.0,2022,228
,1:56,Panthers,Eddy Piñeiro 36 yard field goal,20,37,16.0,2022,228
,0:36,Lions,Michael Badgley 34 yard field goal,23,37,16.0,2022,228
