Quarter,Time,Down,ToGo,Location,GNB,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,16.0,2022,237
1.0,15:00,,,GNB 35,0.0,0.0,"Mason Crosby kicks off 62 yards, returned by Raheem Mostert for 27 yards (tackle by Tariq Carpenter). Penalty on Clayton Fejedelem: Offensive Holding, 10 yards (accepted)",0.0,0.28,16.0,2022,237
1.0,14:53,1.0,10.0,MIA 20,0.0,0.0,Tua Tagovailoa pass incomplete short left intended for Alec Ingold (defended by Kingsley Enagbare),0.28,-0.27,16.0,2022,237
1.0,14:49,2.0,10.0,MIA 20,0.0,0.0,Raheem Mostert right guard for 14 yards (tackle by Adrian Amos),-0.27,1.2,16.0,2022,237
1.0,14:11,1.0,10.0,MIA 34,0.0,0.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 14 yards (tackle by De'Vondre Campbell),1.2,2.13,16.0,2022,237
1.0,13:28,1.0,10.0,MIA 48,0.0,0.0,Raheem Mostert up the middle for 17 yards (tackle by Adrian Amos),2.13,3.25,16.0,2022,237
1.0,12:49,1.0,10.0,GNB 35,0.0,0.0,Raheem Mostert left guard for 2 yards (tackle by Jarran Reed and Justin Hollins),3.25,2.97,16.0,2022,237
1.0,12:01,,,,,,Timeout #1 by Miami Dolphins,,,16.0,2022,237
1.0,12:01,2.0,8.0,GNB 33,0.0,0.0,Jeff Wilson right guard for 5 yards (tackle by Tedarrell Slaton),2.97,2.94,16.0,2022,237
1.0,11:21,3.0,3.0,GNB 28,0.0,0.0,Tua Tagovailoa pass incomplete deep right intended for Tyreek Hill,2.94,1.68,16.0,2022,237
1.0,11:15,4.0,3.0,GNB 28,0.0,3.0,Jason Sanders 46 yard field goal good,1.68,3.0,16.0,2022,237
1.0,11:10,,,MIA 35,0.0,3.0,"Jason Sanders kicks off 67 yards, returned by Keisean Nixon for 93 yards (tackle by Justin Bethel)",0.0,5.14,16.0,2022,237
1.0,10:56,1.0,9.0,MIA 9,0.0,3.0,Aaron Jones right end for 4 yards (tackle by Xavien Howard and Elandon Roberts),5.14,5.15,16.0,2022,237
1.0,10:23,2.0,5.0,MIA 5,0.0,3.0,Aaron Rodgers sacked by Elandon Roberts for -13 yards,5.15,2.63,16.0,2022,237
1.0,9:38,3.0,18.0,MIA 18,0.0,3.0,Aaron Rodgers pass incomplete short middle intended for Romeo Doubs,2.63,2.25,16.0,2022,237
1.0,9:30,4.0,18.0,MIA 18,3.0,3.0,Mason Crosby 36 yard field goal good,2.25,3.0,16.0,2022,237
1.0,9:26,,,GNB 35,3.0,3.0,"Mason Crosby kicks off 65 yards, returned by Raheem Mostert for 16 yards (tackle by Tariq Carpenter)",0.0,-0.14,16.0,2022,237
1.0,9:21,1.0,10.0,MIA 16,3.0,9.0,"Tua Tagovailoa pass complete short right to Jaylen Waddle for 84 yards, touchdown",-0.14,7.0,16.0,2022,237
1.0,9:08,,,GNB 15,3.0,10.0,Jason Sanders kicks extra point good,0.0,0.0,16.0,2022,237
1.0,9:08,,,MIA 35,3.0,10.0,"Jason Sanders kicks off 19 yards, returned by Josiah Deguara for no gain",0.0,1.99,16.0,2022,237
1.0,9:06,1.0,10.0,GNB 46,3.0,10.0,Aaron Rodgers pass complete short left to Allen Lazard for 11 yards (tackle by Kader Kohou),1.99,2.72,16.0,2022,237
1.0,8:33,1.0,10.0,MIA 43,3.0,10.0,AJ Dillon right guard for 6 yards (tackle by Elandon Roberts),2.72,2.99,16.0,2022,237
