Quarter,Time,Down,ToGo,Location,BUF,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Bears to receive the opening kickoff.",,,16.0,2022,227
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 58 yards, returned by Velus Jones for 29 yards (tackle by Cameron Lewis and Siran Neal)",0.0,1.33,16.0,2022,227
1.0,14:52,1.0,10.0,CHI 36,0.0,0.0,Justin Fields scrambles left end for 7 yards (tackle by Tremaine Edmunds),1.33,1.74,16.0,2022,227
1.0,14:12,2.0,3.0,CHI 43,0.0,0.0,David Montgomery left tackle for 3 yards (tackle by Tremaine Edmunds),1.74,1.99,16.0,2022,227
1.0,13:35,1.0,10.0,CHI 46,0.0,0.0,David Montgomery left end for 5 yards (tackle by DaQuan Jones),1.99,2.13,16.0,2022,227
1.0,12:44,2.0,5.0,BUF 49,0.0,0.0,Justin Fields pass complete short right to Byron Pringle for 20 yards (tackle by Dane Jackson and Damar Hamlin),2.13,3.64,16.0,2022,227
1.0,11:58,1.0,10.0,BUF 29,0.0,0.0,David Montgomery right tackle for 28 yards (tackle by Jordan Poyer and Tremaine Edmunds),3.64,6.97,16.0,2022,227
1.0,11:08,1.0,1.0,BUF 1,0.0,0.0,"David Montgomery for no gain, touchdown. Penalty on Larry Borom: Offensive Holding, 10 yards (accepted) (no play)",6.97,4.77,16.0,2022,227
1.0,11:04,1.0,11.0,BUF 11,0.0,0.0,Justin Fields pass complete short middle to David Montgomery for 5 yards (tackle by DaQuan Jones),4.77,4.95,16.0,2022,227
1.0,10:27,2.0,6.0,BUF 6,0.0,0.0,Justin Fields right end for no gain (tackle by Taron Johnson),4.95,4.04,16.0,2022,227
1.0,9:46,3.0,6.0,BUF 6,0.0,6.0,"Justin Fields pass complete short left to Dante Pettis for 6 yards, touchdown",4.04,7.0,16.0,2022,227
1.0,9:41,,,BUF 15,0.0,7.0,Cairo Santos kicks extra point good,0.0,0.0,16.0,2022,227
1.0,9:41,,,CHI 35,0.0,7.0,"Trenton Gill kicks off 57 yards, returned by Nyheim Hines for 21 yards (tackle by Elijah Lee)",0.0,0.87,16.0,2022,227
1.0,9:36,1.0,10.0,BUF 29,0.0,7.0,Josh Allen pass complete deep right to Dawson Knox for 24 yards (tackle by Kyler Gordon),0.87,2.46,16.0,2022,227
1.0,9:13,1.0,10.0,CHI 47,0.0,7.0,"Josh Allen pass incomplete intended for Stefon Diggs. Penalty on Ryan Bates: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.46,2.13,16.0,2022,227
1.0,9:10,1.0,15.0,BUF 48,0.0,7.0,Josh Allen pass incomplete deep left intended for Nyheim Hines,2.13,1.24,16.0,2022,227
1.0,9:04,2.0,15.0,BUF 48,0.0,7.0,Josh Allen pass complete short left to Cole Beasley for 9 yards (tackle by Nicholas Morrow),1.24,1.75,16.0,2022,227
1.0,8:25,3.0,6.0,CHI 43,0.0,7.0,Josh Allen scrambles left guard for 10 yards (tackle by Josh Blackwell),1.75,3.38,16.0,2022,227
1.0,7:47,1.0,10.0,CHI 33,0.0,7.0,"James Cook for no gain (tackle by Mike Pennel). Penalty on Quintin Morris: Offensive Holding, 10 yards (accepted) (no play)",3.38,2.72,16.0,2022,227
1.0,7:18,1.0,20.0,CHI 43,0.0,7.0,James Cook left tackle for 24 yards (tackle by DeAndre Houston-Carson and Jaylon Jones),2.72,4.31,16.0,2022,227
1.0,6:28,1.0,10.0,CHI 19,6.0,7.0,"Josh Allen pass complete deep left to Gabriel Davis for 19 yards, touchdown",4.31,7.0,16.0,2022,227
1.0,6:22,,,CHI 15,6.0,7.0,Tyler Bass kicks extra point no good,0.0,-1.0,16.0,2022,227
1.0,6:22,,,BUF 35,6.0,7.0,"Tyler Bass kicks off 63 yards, returned by Velus Jones for 40 yards (tackle by Tyler Bass and Kaiir Elam)",0.0,1.73,16.0,2022,227
1.0,6:14,1.0,10.0,CHI 42,6.0,7.0,Justin Fields pass complete short left to Cole Kmet for 5 yards (tackle by Shaq Lawson),1.73,1.86,16.0,2022,227
1.0,5:41,2.0,5.0,CHI 47,6.0,7.0,David Montgomery right guard for 3 yards (tackle by Tremaine Edmunds),1.86,1.55,16.0,2022,227
1.0,4:57,3.0,2.0,CHI 50,6.0,7.0,David Montgomery right end for 10 yards (tackle by Tremaine Edmunds),1.55,2.92,16.0,2022,227
1.0,4:15,1.0,10.0,BUF 40,6.0,7.0,Justin Fields pass incomplete short left intended for Cole Kmet,2.92,2.37,16.0,2022,227
1.0,4:09,2.0,10.0,BUF 40,6.0,7.0,Khalil Herbert right tackle for -1 yards (tackle by Kingsley Jonathan),2.37,1.55,16.0,2022,227
1.0,3:26,3.0,11.0,BUF 41,6.0,7.0,Justin Fields pass complete short middle to Velus Jones for 8 yards (tackle by Dane Jackson),1.55,1.19,16.0,2022,227
1.0,2:47,4.0,3.0,BUF 33,6.0,7.0,Justin Fields pass incomplete short left intended for Dante Pettis (defended by Ed Oliver),1.19,-1.2,16.0,2022,227
1.0,2:44,1.0,10.0,BUF 34,6.0,7.0,Josh Allen pass complete short left to Reggie Gilliam for 12 yards (tackle by Jaylon Jones and Nicholas Morrow),1.2,1.99,16.0,2022,227
1.0,2:00,1.0,10.0,BUF 46,6.0,7.0,Devin Singletary left guard for 2 yards (tackle by Justin Jones),1.99,1.72,16.0,2022,227
1.0,1:23,2.0,8.0,BUF 48,6.0,7.0,Devin Singletary for 15 yards (tackle by DeAndre Houston-Carson and Jaquan Brisker),1.72,3.12,16.0,2022,227
1.0,0:39,1.0,10.0,CHI 37,6.0,7.0,Devin Singletary right tackle for 3 yards (tackle by Joe Thomas),3.12,2.98,16.0,2022,227
2.0,15:00,2.0,7.0,CHI 34,6.0,7.0,Josh Allen pass complete short middle to Gabriel Davis for 15 yards (tackle by Jaquan Brisker),2.98,4.31,16.0,2022,227
2.0,14:24,1.0,10.0,CHI 19,6.0,7.0,"Josh Allen scrambles for no gain. Penalty on Rodger Saffold: Offensive Holding, 10 yards (accepted) (no play)",4.31,3.64,16.0,2022,227
2.0,13:49,1.0,20.0,CHI 29,6.0,7.0,Josh Allen pass complete short middle to Dawson Knox for 1 yard (tackle by Joe Thomas and Josh Blackwell),3.64,2.55,16.0,2022,227
2.0,13:10,2.0,19.0,CHI 28,6.0,7.0,Josh Allen pass deep right intended for Isaiah McKenzie is intercepted by Kyler Gordon in end zone and returned for 36 yards (tackle by James Cook),2.55,-1.2,16.0,2022,227
2.0,12:53,1.0,10.0,CHI 34,6.0,7.0,Justin Fields pass complete short right to Cole Kmet for 7 yards,1.2,1.6,16.0,2022,227
2.0,12:22,2.0,3.0,CHI 41,6.0,7.0,Khalil Herbert right end for 5 yards (tackle by Damar Hamlin),1.6,1.99,16.0,2022,227
2.0,11:41,1.0,10.0,CHI 46,6.0,7.0,Justin Fields pass incomplete short right intended for Dante Pettis,1.99,1.45,16.0,2022,227
2.0,11:37,2.0,10.0,CHI 46,6.0,7.0,Justin Fields pass complete short left to Khalil Herbert for -2 yards (tackle by Damar Hamlin),1.45,0.5,16.0,2022,227
2.0,10:57,3.0,12.0,CHI 44,6.0,7.0,"Sam Mustipher aborted snap, recovered by Justin Fields at CHI-44 Justin Fields for no gain (tackle by Ed Oliver)",0.5,-1.04,16.0,2022,227
2.0,10:21,4.0,21.0,CHI 35,6.0,7.0,Trenton Gill punts 63 yards downed by Nsimba Webster,-1.04,0.38,16.0,2022,227
2.0,10:10,1.0,10.0,BUF 2,6.0,7.0,"Josh Allen aborted snap, recovered by Josh Allen at BUF-1 Josh Allen for no gain",-0.38,-0.85,16.0,2022,227
2.0,9:32,2.0,11.0,BUF 1,6.0,7.0,Devin Singletary left tackle for 3 yards (tackle by Mike Pennel),-0.85,-1.19,16.0,2022,227
2.0,8:52,3.0,8.0,BUF 4,6.0,7.0,Josh Allen sacked by Jaquan Brisker for no gain,-1.19,-2.49,16.0,2022,227
2.0,8:07,4.0,8.0,BUF 4,6.0,7.0,"Sam Martin punts 46 yards, returned by Dante Pettis for 12 yards (tackle by A.J. Klein)",-2.49,-3.05,16.0,2022,227
2.0,7:53,1.0,10.0,BUF 38,6.0,7.0,David Montgomery left guard for 1 yard (tackle by Matt Milano),3.05,2.64,16.0,2022,227
2.0,7:16,2.0,9.0,BUF 37,6.0,7.0,David Montgomery left guard for 3 yards (tackle by Shaq Lawson and Jordan Phillips),2.64,2.34,16.0,2022,227
2.0,6:39,3.0,6.0,BUF 34,6.0,7.0,David Montgomery right guard for 3 yards (tackle by Tremaine Edmunds and Tim Settle),2.34,1.38,16.0,2022,227
