Quarter,Time,Down,ToGo,Location,LVR,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,,16.0,2022,236
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 49 yards, returned by Ameer Abdullah for 12 yards (tackle by Connor Heyward)",0.0,0.81,16.0,2022,236
1.0,14:57,1.0,10.0,LVR 28,0.0,0.0,Josh Jacobs left tackle for 4 yards (tackle by Larry Ogunjobi),0.81,0.8,16.0,2022,236
1.0,14:23,2.0,6.0,LVR 32,0.0,0.0,Josh Jacobs up the middle for 7 yards (tackle by Arthur Maulet and Robert Spillane),0.8,1.53,16.0,2022,236
1.0,13:42,1.0,10.0,LVR 39,0.0,0.0,Josh Jacobs up the middle for 2 yards (tackle by Montravius Adams),1.53,1.26,16.0,2022,236
1.0,13:03,2.0,8.0,LVR 41,0.0,0.0,Derek Carr pass complete short left to Foster Moreau for 10 yards (tackle by Damontae Kazee),1.26,2.32,16.0,2022,236
1.0,12:27,1.0,10.0,PIT 49,0.0,0.0,Josh Jacobs left tackle for 11 yards (tackle by Damontae Kazee and Cameron Sutton),2.32,3.05,16.0,2022,236
1.0,11:47,1.0,10.0,PIT 38,0.0,0.0,Brandon Bolden right guard for no gain (tackle by Robert Spillane),3.05,2.51,16.0,2022,236
1.0,11:08,,,,,,Timeout #1 by Las Vegas Raiders,,,16.0,2022,236
1.0,11:08,2.0,10.0,PIT 38,0.0,0.0,Derek Carr scrambles right end for 9 yards (tackle by T.J. Watt),2.51,3.01,16.0,2022,236
1.0,10:25,3.0,1.0,PIT 29,0.0,0.0,Derek Carr up the middle for 1 yard (tackle by Cameron Heyward and Robert Spillane),3.01,3.71,16.0,2022,236
1.0,9:44,1.0,10.0,PIT 28,0.0,0.0,Josh Jacobs up the middle for 2 yards (tackle by Robert Spillane and Devin Bush),3.71,3.3,16.0,2022,236
1.0,8:58,2.0,10.0,PIT 26,0.0,0.0,Derek Carr sacked by Cameron Heyward for -8 yards,3.3,1.68,16.0,2022,236
1.0,8:14,3.0,16.0,PIT 34,0.0,0.0,Derek Carr pass complete short left to Ameer Abdullah for 17 yards (tackle by Levi Wallace and Tre Norwood),1.68,4.44,16.0,2022,236
1.0,7:30,1.0,10.0,PIT 17,0.0,0.0,Derek Carr pass incomplete short right intended for Davante Adams,4.44,3.85,16.0,2022,236
1.0,7:26,2.0,10.0,PIT 17,0.0,0.0,Derek Carr pass complete short middle to Davante Adams for 3 yards (tackle by Robert Spillane),3.85,3.5,16.0,2022,236
1.0,6:46,3.0,7.0,PIT 14,6.0,0.0,"Derek Carr pass complete short right to Hunter Renfrow for 14 yards, touchdown",3.5,7.0,16.0,2022,236
1.0,6:38,,,PIT 15,7.0,0.0,Daniel Carlson kicks extra point good,0.0,0.0,16.0,2022,236
1.0,6:38,,,LVR 35,7.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,236
1.0,6:38,1.0,10.0,PIT 25,7.0,0.0,Najee Harris left guard for -1 yards (tackle by Luke Masterson),0.61,-0.07,16.0,2022,236
1.0,6:03,2.0,11.0,PIT 24,7.0,0.0,Kenny Pickett pass complete short right to Steven Sims for 7 yards (tackle by Amik Robertson),-0.07,0.17,16.0,2022,236
1.0,5:28,3.0,4.0,PIT 31,7.0,0.0,Kenny Pickett pass complete short left to Diontae Johnson for 11 yards (tackle by Amik Robertson),0.17,1.73,16.0,2022,236
1.0,4:44,1.0,10.0,PIT 42,7.0,0.0,Kenny Pickett pass incomplete short right,1.73,1.19,16.0,2022,236
1.0,4:39,2.0,10.0,PIT 42,7.0,0.0,Kenny Pickett pass incomplete short right,1.19,0.5,16.0,2022,236
1.0,4:30,3.0,10.0,PIT 42,7.0,0.0,Kenny Pickett pass complete short left to Zach Gentry for 1 yard (tackle by Duron Harmon and Denzel Perryman),0.5,-0.52,16.0,2022,236
1.0,3:48,4.0,10.0,PIT 43,7.0,0.0,Pressley Harvin punts 39 yards downed by James Pierre,-0.52,-0.04,16.0,2022,236
1.0,3:40,1.0,10.0,LVR 18,7.0,0.0,Derek Carr pass complete short middle to Darren Waller for 11 yards (tackle by Damontae Kazee),0.04,0.87,16.0,2022,236
1.0,2:53,1.0,10.0,LVR 29,7.0,0.0,Josh Jacobs left tackle for -3 yards (tackle by Larry Ogunjobi),0.87,-0.08,16.0,2022,236
1.0,2:15,2.0,13.0,LVR 26,7.0,0.0,Derek Carr pass complete short left to Josh Jacobs for 6 yards (tackle by Montravius Adams),-0.08,0.04,16.0,2022,236
1.0,1:34,3.0,7.0,LVR 32,7.0,0.0,Derek Carr pass incomplete short middle intended for Mack Hollins (defended by Cameron Heyward),0.04,-1.24,16.0,2022,236
1.0,1:30,4.0,7.0,LVR 32,7.0,0.0,AJ Cole punts 43 yards out of bounds,-1.24,-0.61,16.0,2022,236
1.0,1:24,1.0,10.0,PIT 25,7.0,0.0,Najee Harris left guard for 14 yards (tackle by Luke Masterson and Duron Harmon),0.61,1.53,16.0,2022,236
1.0,0:45,1.0,10.0,PIT 39,7.0,0.0,Najee Harris right end for 2 yards (tackle by Nate Hobbs),1.53,1.26,16.0,2022,236
1.0,0:07,2.0,8.0,PIT 41,7.0,0.0,Kenny Pickett pass complete short left to Diontae Johnson for 15 yards (tackle by Trevon Moehrig),1.26,2.65,16.0,2022,236
2.0,15:00,1.0,10.0,LVR 44,7.0,0.0,Najee Harris left tackle for no gain (tackle by Chandler Jones and Neil Farrell),2.65,2.11,16.0,2022,236
2.0,14:26,2.0,10.0,LVR 44,7.0,0.0,Kenny Pickett pass complete short left to Diontae Johnson for 13 yards (tackle by Nate Hobbs),2.11,3.51,16.0,2022,236
2.0,13:52,1.0,10.0,LVR 31,7.0,0.0,Kenny Pickett scrambles right end for 6 yards (tackle by Luke Masterson and Roderic Teamer),3.51,3.78,16.0,2022,236
2.0,13:07,2.0,4.0,LVR 25,7.0,0.0,Jaylen Warren up the middle for 2 yards (tackle by Luke Masterson and Maxx Crosby),3.78,3.34,16.0,2022,236
2.0,12:29,3.0,2.0,LVR 23,7.0,0.0,Jaylen Warren left end for -2 yards (tackle by Tyler Hall),3.34,1.88,16.0,2022,236
2.0,11:52,4.0,4.0,LVR 25,7.0,0.0,Chris Boswell 43 yard field goal no good,1.88,-1.14,16.0,2022,236
2.0,11:48,1.0,10.0,LVR 33,7.0,0.0,Derek Carr pass complete short right to Davante Adams for 12 yards (tackle by Damontae Kazee),1.14,1.93,16.0,2022,236
2.0,11:10,1.0,10.0,LVR 45,7.0,0.0,Josh Jacobs left tackle for -4 yards (tackle by Cameron Heyward and Robert Spillane),1.93,0.84,16.0,2022,236
2.0,10:31,2.0,14.0,LVR 41,7.0,0.0,Derek Carr pass incomplete short left intended for Keelan Cole,0.84,0.17,16.0,2022,236
2.0,10:27,3.0,14.0,LVR 41,7.0,0.0,Derek Carr scrambles up the middle for 4 yards (tackle by Robert Spillane),0.17,-0.39,16.0,2022,236
2.0,9:46,4.0,9.0,LVR 45,7.0,0.0,"AJ Cole punts 43 yards, fair catch by Steven Sims at PIT-12",-0.39,0.35,16.0,2022,236
2.0,9:39,1.0,10.0,PIT 12,7.0,0.0,Kenny Pickett pass complete short right to Pat Freiermuth for 8 yards (tackle by Trevon Moehrig and Denzel Perryman),-0.35,0.29,16.0,2022,236
2.0,9:01,2.0,2.0,PIT 20,7.0,0.0,Najee Harris right tackle for 8 yards (tackle by Denzel Perryman),0.29,0.81,16.0,2022,236
2.0,8:25,1.0,10.0,PIT 28,7.0,0.0,Najee Harris right guard for 1 yard (tackle by Andrew Billings and Maxx Crosby),0.81,0.4,16.0,2022,236
2.0,7:49,2.0,9.0,PIT 29,7.0,0.0,Najee Harris left tackle for 7 yards (tackle by Jerry Tillery and Tyler Hall),0.4,0.63,16.0,2022,236
2.0,7:12,3.0,2.0,PIT 36,7.0,0.0,Kenny Pickett pass complete short middle to George Pickens for 8 yards (tackle by Tyler Hall),0.63,1.86,16.0,2022,236
2.0,6:34,1.0,10.0,PIT 44,7.0,0.0,Najee Harris right guard for 4 yards (tackle by Darien Butler and Chandler Jones),1.86,1.86,16.0,2022,236
2.0,5:50,2.0,6.0,PIT 48,7.0,0.0,Jaylen Warren left tackle for 13 yards (tackle by Tyler Hall and Trevon Moehrig),1.86,2.98,16.0,2022,236
2.0,5:03,1.0,10.0,LVR 39,7.0,0.0,Jaylen Warren right end for 4 yards (tackle by Maxx Crosby),2.98,2.98,16.0,2022,236
2.0,4:24,2.0,6.0,LVR 35,7.0,0.0,Jaylen Warren left end for 5 yards (tackle by Trevon Moehrig),2.98,2.94,16.0,2022,236
2.0,3:42,3.0,1.0,LVR 30,7.0,0.0,Derek Watt up the middle for no gain (tackle by Maxx Crosby),2.94,1.52,16.0,2022,236
2.0,3:00,4.0,1.0,LVR 30,7.0,0.0,Kenny Pickett up the middle for 2 yards (tackle by Bilal Nichols and Neil Farrell),1.52,3.71,16.0,2022,236
2.0,2:23,1.0,10.0,LVR 28,7.0,0.0,Kenny Pickett pass incomplete short right intended for Connor Heyward,3.71,3.17,16.0,2022,236
2.0,2:20,2.0,10.0,LVR 28,7.0,0.0,Kenny Pickett pass complete short left to Pat Freiermuth for 2 yards (tackle by Chandler Jones),3.17,2.74,16.0,2022,236
