Player,Tm,Def Interceptions Int,Def Interceptions Yds,Def Interceptions TD,Def Interceptions Lng,Def Interceptions PD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Fumbles FR,Fumbles Yds,Fumbles TD,Fumbles FF,week,year,game_id
Richie Grant,ATL,0,0,0,0,0,0.0,10,7,3,0,0,0,0,0,0,16.0,2022,226
Rashaan Evans,ATL,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0,16.0,2022,226
Lorenzo Carter,ATL,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,16.0,2022,226
Troy Andersen,ATL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,1,16.0,2022,226
Abdullah Anderson,ATL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,16.0,2022,226
Jaylinn Hawkins,ATL,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,16.0,2022,226
Jalen Dalton,ATL,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0,16.0,2022,226
Timmy Horne,ATL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,16.0,2022,226
Adetokunbo Ogundeji,ATL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,16.0,2022,226
AJ Terrell,ATL,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0,16.0,2022,226
KhaDarel Hodge,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,16.0,2022,226
Grady Jarrett,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,16.0,2022,226
DeAngelo Malone,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,16.0,2022,226
Tyler Allgeier,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,16.0,2022,226
Cornell Armstrong,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,16.0,2022,226
Mike Ford,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,16.0,2022,226
Darren Hall,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,16.0,2022,226
Erik Harris,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,16.0,2022,226
Nick Kwiatkoski,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,16.0,2022,226
Liam McCullough,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,16.0,2022,226
Mykal Walker,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,16.0,2022,226
Desmond Ridder,ATL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,16.0,2022,226
Nnamdi Madubuike,BAL,0,0,0,0,0,1.0,7,5,2,1,1,0,0,0,0,16.0,2022,226
Patrick Queen,BAL,0,0,0,0,1,0.5,9,1,8,0,2,1,5,0,0,16.0,2022,226
Brandon Stephens,BAL,0,0,0,0,0,0.5,5,3,2,0,1,0,0,0,0,16.0,2022,226
Roquan Smith,BAL,0,0,0,0,0,0.0,14,7,7,1,0,0,0,0,0,16.0,2022,226
Chuck Clark,BAL,0,0,0,0,1,0.0,7,3,4,0,0,0,0,0,0,16.0,2022,226
Marlon Humphrey,BAL,0,0,0,0,0,0.0,7,7,0,0,0,0,0,0,1,16.0,2022,226
Broderick Washington Jr.,BAL,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,16.0,2022,226
Travis Jones,BAL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,16.0,2022,226
Tyus Bowser,BAL,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0,16.0,2022,226
Kyle Hamilton,BAL,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0,16.0,2022,226
Isaiah Mack,BAL,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0,16.0,2022,226
Odafe Oweh,BAL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,16.0,2022,226
Jason Pierre-Paul,BAL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,16.0,2022,226
Marcus Williams,BAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,16.0,2022,226
Malik Harrison,BAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,16.0,2022,226
Brent Urban,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,16.0,2022,226
Andy Isabella,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,16.0,2022,226
Del'Shawn Phillips,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,16.0,2022,226
James Proche,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,16.0,2022,226
Damarion Williams,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,16.0,2022,226
Ben Powers,BAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,16.0,2022,226
