Quarter,Time,Tm,Detail,LVR,PIT,week,year,game_id
1.0,6:38,Raiders,Hunter Renfrow 14 yard pass from Derek Carr (Daniel Carlson kick),7,0,16.0,2022,236
2.0,1:49,Steelers,Chris Boswell 44 yard field goal,7,3,16.0,2022,236
,0:05,Raiders,Daniel Carlson 40 yard field goal,10,3,16.0,2022,236
4.0,9:47,Steelers,Chris Boswell 40 yard field goal,10,6,16.0,2022,236
,0:46,Steelers,George Pickens 14 yard pass from Kenny Pickett (Chris Boswell kick),10,13,16.0,2022,236
