Unnamed: 0,PHI,DAL,week,year,game_id
First Downs,25,25,16.0,2022,235
Rush-Yds-TDs,29-87-1,31-115-1,16.0,2022,235
Cmp-Att-Yd-TD-INT,24-40-355-2-2,27-35-347-3-1,16.0,2022,235
Sacked-Yards,0-0,6-43,16.0,2022,235
Net Pass Yards,355,304,16.0,2022,235
Total Yards,442,419,16.0,2022,235
Fumbles-Lost,3-2,1-0,16.0,2022,235
Turnovers,4,1,16.0,2022,235
Penalties-Yards,2-10,4-36,16.0,2022,235
Third Down Conv.,8-14,8-15,16.0,2022,235
Fourth Down Conv.,2-3,1-1,16.0,2022,235
Time of Possession,27:42,32:18,16.0,2022,235
