Unnamed: 0,NYG,MIN,week,year,game_id
First Downs,23,23,16.0,2022,233
Rush-Yds-TDs,21-126-1,19-83-0,16.0,2022,233
Cmp-Att-Yd-TD-INT,30-42-334-1-1,34-48-299-3-0,16.0,2022,233
Sacked-Yards,3-15,4-29,16.0,2022,233
Net Pass Yards,319,270,16.0,2022,233
Total Yards,445,353,16.0,2022,233
Fumbles-Lost,2-1,0-0,16.0,2022,233
Turnovers,2,0,16.0,2022,233
Penalties-Yards,7-63,2-14,16.0,2022,233
Third Down Conv.,3-11,6-13,16.0,2022,233
Fourth Down Conv.,1-1,0-1,16.0,2022,233
Time of Possession,29:13,30:47,16.0,2022,233
