Quarter,Time,Tm,Detail,PHI,DAL,week,year,game_id
1.0,11:16,Eagles,Jake Elliott 25 yard field goal,3,0,16.0,2022,235
,9:18,Eagles,Josh Sweat 42 yard interception return (Jake Elliott kick),10,0,16.0,2022,235
,1:52,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),10,7,16.0,2022,235
2.0,11:34,Cowboys,CeeDee Lamb 36 yard pass from Dak Prescott (Brett Maher kick),10,14,16.0,2022,235
,7:08,Eagles,Gardner Minshew II 1 yard rush (Jake Elliott kick),17,14,16.0,2022,235
,1:49,Cowboys,Brett Maher 21 yard field goal,17,17,16.0,2022,235
,0:06,Eagles,Jake Elliott 47 yard field goal,20,17,16.0,2022,235
3.0,9:00,Eagles,DeVonta Smith 14 yard pass from Gardner Minshew II (Jake Elliott kick),27,17,16.0,2022,235
,5:01,Cowboys,Brett Maher 44 yard field goal,27,20,16.0,2022,235
,2:12,Cowboys,Michael Gallup 12 yard pass from Dak Prescott (Brett Maher kick),27,27,16.0,2022,235
4.0,9:59,Eagles,DeVonta Smith 9 yard pass from Gardner Minshew II (Jake Elliott kick),34,27,16.0,2022,235
,5:49,Cowboys,CeeDee Lamb 7 yard pass from Dak Prescott (Brett Maher kick),34,34,16.0,2022,235
,2:19,Cowboys,Brett Maher 48 yard field goal,34,37,16.0,2022,235
,1:41,Cowboys,Brett Maher 26 yard field goal,34,40,16.0,2022,235
