0,1,week,year,game_id
Won Toss,49ers (deferred),16.0,2022,234
Roof,outdoors,16.0,2022,234
Surface,grass,16.0,2022,234
Duration,3:10,16.0,2022,234
Attendance,71642,16.0,2022,234
Weather,"54 degrees, relative humidity 82%, wind 2 mph",16.0,2022,234
Vegas Line,San Francisco 49ers -6.5,16.0,2022,234
Over/Under,37.5 (over),16.0,2022,234
