Quarter,Time,Down,ToGo,Location,NOR,CLE,Detail,EPB,EPA,week,year,game_id
3.0,14:54,1.0,10.0,NOR 33,3.0,10.0,Alvin Kamara left guard for 8 yards (tackle by Grant Delpit and Tony Fields),1.14,1.67,16.0,2022,230
3.0,14:13,2.0,2.0,NOR 41,3.0,10.0,Alvin Kamara right tackle for 1 yard (tackle by Chase Winovich),1.67,0.96,16.0,2022,230
3.0,13:35,3.0,2.0,NOR 41,3.0,10.0,Alvin Kamara right end for 14 yards (tackle by Tony Fields),0.96,2.65,16.0,2022,230
3.0,12:54,1.0,10.0,CLE 44,3.0,10.0,Andy Dalton pass complete short left to Rashid Shaheed for 4 yards (tackle by Ronnie Harrison),2.65,2.65,16.0,2022,230
3.0,12:27,2.0,6.0,CLE 40,3.0,10.0,David Johnson right guard for 1 yard (tackle by Jordan Elliott and Deion Jones),2.65,2.08,16.0,2022,230
3.0,11:46,3.0,5.0,CLE 39,3.0,10.0,Andy Dalton pass complete short left to Rashid Shaheed for 14 yards (tackle by Grant Delpit),2.08,3.91,16.0,2022,230
3.0,11:04,1.0,10.0,CLE 25,3.0,10.0,Taysom Hill left tackle for 13 yards (tackle by John Johnson),3.91,4.78,16.0,2022,230
3.0,10:26,1.0,10.0,CLE 12,3.0,10.0,David Johnson left guard for 4 yards (tackle by Ben Stille and Chase Winovich),4.78,4.83,16.0,2022,230
3.0,9:45,2.0,6.0,CLE 8,9.0,10.0,"Taysom Hill for 8 yards, touchdown",4.83,7.0,16.0,2022,230
3.0,9:40,,,CLE 15,10.0,10.0,Wil Lutz kicks extra point good,0.0,0.0,16.0,2022,230
3.0,9:40,,,NOR 35,10.0,10.0,"Wil Lutz kicks off 61 yards, returned by Jerome Ford for 25 yards (tackle by Ty Summers)",0.0,0.87,16.0,2022,230
3.0,9:35,1.0,10.0,CLE 29,10.0,10.0,Deshaun Watson left end for 3 yards (tackle by Tyrann Mathieu),0.87,0.73,16.0,2022,230
3.0,9:01,2.0,7.0,CLE 32,10.0,10.0,Deshaun Watson pass complete short left to Nick Chubb for 10 yards (tackle by Chase Hansen),0.73,1.73,16.0,2022,230
3.0,8:27,1.0,10.0,CLE 42,10.0,10.0,Deshaun Watson right guard for 9 yards (tackle by Daniel Sorensen),1.73,2.4,16.0,2022,230
3.0,7:51,2.0,1.0,NOR 49,10.0,10.0,Nick Chubb left tackle for no gain (tackle by Carl Granderson and Demario Davis),2.4,1.69,16.0,2022,230
3.0,7:15,3.0,1.0,NOR 49,10.0,10.0,Kareem Hunt right guard for -1 yards (tackle by Cameron Jordan and Alontae Taylor),1.69,-0.06,16.0,2022,230
3.0,6:30,4.0,2.0,NOR 50,10.0,10.0,"Corey Bojorquez punts 41 yards, fair catch by Rashid Shaheed at NO-9",-0.06,0.38,16.0,2022,230
