Quarter,Time,Tm,Detail,ATL,BAL,week,year,game_id
1.0,8:02,Ravens,Justin Tucker 21 yard field goal,0,3,16.0,2022,226
2.0,12:42,Ravens,Justin Tucker 27 yard field goal,0,6,16.0,2022,226
,2:23,Ravens,Demarcus Robinson 6 yard pass from Tyler Huntley (Tyler Huntley run),0,14,16.0,2022,226
,0:00,Falcons,Younghoe Koo 32 yard field goal,3,14,16.0,2022,226
3.0,7:01,Falcons,Younghoe Koo 34 yard field goal,6,14,16.0,2022,226
4.0,14:10,Ravens,Justin Tucker 21 yard field goal,6,17,16.0,2022,226
,2:03,Falcons,Younghoe Koo 37 yard field goal,9,17,16.0,2022,226
